Ra_bou,Pr_bou,Ek_bou,rotation,AR,beta_bou,gamma_bou,alpha_bou,tau_bou,qvapbot_bou,qvaptop_bou,resolution,grid_points,max_sim_time,latest_time_source,max_NTIME,avgvar_last_T,mprime_square_last_T,convective_scale_last_T,moist_integral_scale_last_T,segments,run_status,parameter_check,available_resolutions,base_case_paths
8000000.0,0.7,,norotating,16.0,1.02,1.1,3.0,0.001,1.0,0.004978,257x257x65,4293185,152.6,out_max_T,15260,152.6,,,,main,HAS_OUTPUT,OK,"257x257x65, 129x129x65",/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot1_qtop0p004978/N257×257×65
8000000.0,0.7,,norotating,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385x385x65,9634625,844.7,out_max_T,84470,844.7,844.7,844.7,844.7,main,HAS_OUTPUT,OK,385x385x65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65
8000000.0,0.7,0.00014999999999973672,rotating,4.0,1.02,1.1,3.0,0.001,0.5,0.004978,257x257x65,4293185,1200.0,out_max_T,60000,1200.0,1200.0,1200.0,1200.0,"conti1, main",HAS_OUTPUT,OK,257x257x65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65
8000000.0,0.7,0.00020000000000066313,rotating,4.0,1.02,1.1,3.0,0.001,0.5,0.004978,257x257x65,4293185,1200.0,out_max_T,60000,1200.0,1200.0,1200.0,1200.0,"conti1, main",HAS_OUTPUT,OK,257x257x65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65
8000000.0,0.7,0.0003000000000000819,rotating,10.0,1.02,1.1,3.0,0.001,1.0,0.004978,257x257x129,8520321,800.0,out_max_T,80000,800.0,,,,main,HAS_OUTPUT,OK,257x257x129,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-4/AR10/Beta1p02/qbot1_qtop0p004978/N257x257x129
8000000.0,0.7,0.0004999999999999675,rotating,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385x385x65,9634625,800.0,out_max_T,80000,800.0,800.0,800.0,800.0,main,HAS_OUTPUT,OK,385x385x65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65
8000000.0,0.7,0.0007000000000004278,rotating,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385x385x65,9634625,800.0,out_max_T,80000,800.0,800.0,800.0,800.0,main,HAS_OUTPUT,OK,385x385x65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65
8000000.0,0.7,0.000999999999999935,rotating,16.0,1.02,1.1,3.0,0.001,1.0,0.004978,257x257x65,4293185,800.002,out_max_T,114286,800.002,,,,main,HAS_OUTPUT,OK,257x257x65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65
8000000.0,0.7,0.000999999999999935,rotating,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385x385x65,9634625,846.3,out_max_T,84630,846.3,846.3,846.3,846.3,main,HAS_OUTPUT,OK,385x385x65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65
8000000.0,0.7,0.003000000000000819,rotating,16.0,1.02,1.1,3.0,0.001,1.0,0.004978,257x257x65,4293185,800.002,out_max_T,114286,800.002,,,,main,HAS_OUTPUT,OK,257x257x65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65
