time,kinetic_energy,lc_w_z05,lc_w_z_weighted,convective_wavelength_z05_2pi_lc,convective_wavelength_z_weighted_2pi_lc
0.1,3.7568784e-12,0.0162939255,0.0164764254,0.10237775329787879,0.10352443398812054
0.2,1.16075969e-11,0.0167393903,0.016930838,0.10517669118410448,0.10637959255983781
0.3,2.059579885e-11,0.0172064233,0.0174168824,0.10811114606767248,0.10943349959255473
0.4,2.939897955e-11,0.017696842,0.0179292871,0.1111925376378786,0.11265303327492449
0.5,3.744858355e-11,0.0182116784,0.0184677192,0.11442735014195984,0.11603610193455834
0.6,4.45415483e-11,0.0187516431,0.0190323145,0.11782004841139547,0.119583558828021
0.7,5.06544955e-11,0.0193171919,0.0196231294,0.12137349632204851,0.12329575832696378
0.8,5.5849591e-11,0.01990854,0.020240019,0.12508904601539708,0.12717178999783568
0.9,6.02253215e-11,0.0205256652,0.0208826013,0.12896655800472734,0.13120925366384933
1.0,6.3890629e-11,0.0211683073,0.0215502477,0.13300439740522238,0.13540419971472067
1.1,6.695165e-11,0.0218359693,0.0222420837,0.13719944147378452,0.13975113350489857
1.2,6.9505398e-11,0.0225279204,0.022956997,0.14154709845859126,0.14424306624736583
1.3,7.16372685e-11,0.0232432033,0.0236936508,0.14604135346634808,0.14887159858000384
1.4,7.3420601e-11,0.0239806452,0.024450503,0.15067483757732666,0.1536270412027504
1.5,7.491731e-11,0.0247388746,0.0252258297,0.15543893340287826,0.15849856253245442
1.6,7.61790065e-11,0.0255163412,0.026017753,0.16032390012082112,0.16347436337542762
1.7,7.724829e-11,0.026311342,0.0268242724,0.16531903746657717,0.1685418742194629
1.8,7.81600435e-11,0.0271220492,0.0276432987,0.17041286103404185,0.17368796823381655
1.9,7.8942639e-11,0.0279465415,0.0284726884,0.17559329893928458,0.17889917741078265
2.0,7.9619015e-11,0.0287828373,0.0293102794,0.18084790042230053,0.1841619168754085
2.1,8.02076165e-11,0.0296289277,0.0301539246,0.18616404319212623,0.18946269600052107
2.2,8.0723196e-11,0.0304828093,0.0310015238,0.19152913951531725,0.19478831884033826
2.3,8.1177494e-11,0.0313425145,0.0318510526,0.19693082659646313,0.20012606571452415
2.4,8.15798065e-11,0.0322061401,0.0327005873,0.2023571462772873,0.20546384965950337
2.5,8.19374555e-11,0.0330718722,0.0335483262,0.207796701487961,0.21079035026030796
2.6,8.22561795e-11,0.0339380063,0.0343926056,0.2132387825391282,0.21609511418154237
2.7,8.25404535e-11,0.0348029649,0.0352319119,0.21867347770596685,0.22136863119392564
2.8,8.27937505e-11,0.0356653088,0.0360648893,0.2240917442281828,0.22660238255481827
2.9,8.3018756e-11,0.0365237462,0.0368903429,0.22948546548699625,0.23178886048609676
3.0,8.32175405e-11,0.0373771362,0.0377072388,0.23484747299629025,0.236921568802472
3.1,8.33917005e-11,0.0382244897,0.0385147005,0.24017155205747745,0.24199500029202226
3.2,8.35428455e-11,0.0390650191,0.0393120497,0.2454527540338099,0.24700489307015364
3.3,8.37027685e-11,0.0399043506,0.0401014526,0.2507264293824629,0.2519648577728786
