case,Ek,k_c,ell,Pi_m,P_m_resolved,chi_m_resolved,V_m_resolved,dV_m_dt,closure_residual
Ek1e-2,0.00999999999999935,0.39269908169872414,2.5464790894703255,-1.4620297704089955e-06,7.30060300327437e-07,2.2781121095185883e-06,3.458007016803422e-05,6.742382856285672e-08,-1.5344586734501246e-07
Ek1e-2,0.00999999999999935,0.43623855249158444,2.292323762511318,-1.86788162904048e-06,1.3560372264737842e-06,3.372865303583862e-06,5.142774438996339e-05,8.637583573463287e-08,-2.3532228380423072e-07
Ek1e-2,0.00999999999999935,0.48460534681349926,2.0635348053327416,-2.293689373041664e-06,2.334980669519095e-06,4.879293410887394e-06,7.486580855161335e-05,9.958435717610523e-08,-3.5020772550274e-07
Ek1e-2,0.00999999999999935,0.5383346813777131,1.8575804877381985,-2.728987577988052e-06,3.7308057362201307e-06,6.8593154761752955e-06,0.0001058660211954824,1.0363614823975791e-07,-5.031583102068701e-07
Ek1e-2,0.00999999999999935,0.5980211136332659,1.672181762821916,-3.1707947930874513e-06,5.559958354179635e-06,9.329909671649146e-06,0.00014457760308745122,9.659360098015557e-08,-6.957501253622156e-07
Ek1e-2,0.00999999999999935,0.6643251210119365,1.5052870475178555,-3.6246746601276663e-06,7.789129848724227e-06,1.2261817494432201e-05,0.00019028670725590007,7.811028729397467e-08,-9.261232728742826e-07
Ek1e-2,0.00999999999999935,0.7379804096317688,1.3550495202155455,-4.101661584044045e-06,1.034960988155984e-05,1.5592196143887806e-05,0.00024164239338295536,4.909132480223643e-08,-1.190016003086158e-06
Ek1e-2,0.00999999999999935,0.8198020333337472,1.2198066842228639,-4.609833182799745e-06,1.3160951486920497e-05,1.9241609093711528e-05,0.0002970116713337539,1.1067382873304263e-08,-1.4818918068645876e-06
Ek1e-2,0.00999999999999935,0.9106954128951645,1.098061970929369,-5.142348164877177e-06,1.615511787731669e-05,2.312754763289698e-05,0.00035481890987899974,-3.4460285234567564e-08,-1.7956213054685468e-06
Ek1e-2,0.00999999999999935,1.011666355224388,0.9884681790946774,-5.667105121754136e-06,1.9293749980805093e-05,2.717207863033553e-05,0.000413777693196725,-8.64195945915186e-08,-2.1248039331847817e-06
Ek1e-2,0.00999999999999935,1.1238321834073135,0.889812567004559,-6.123896784188166e-06,2.25740712582301e-05,3.130519358790573e-05,0.00047298804278982114,-1.4416894567675072e-07,-2.463056599810717e-06
Ek1e-2,0.00999999999999935,1.2484341007682476,0.8010034325277009,-6.43204953034342e-06,2.6022779861763504e-05,3.5466393360822365e-05,0.0005319209984211773,-2.071820027470019e-07,-2.804381965968441e-06
Ek1e-2,0.00999999999999935,1.3868509257632997,0.7210580325708883,-6.506633983999076e-06,2.968126237911198e-05,3.960600984963858e-05,0.0005903351044613967,-2.7465274102951616e-07,-3.1434607454980086e-06
Ek1e-2,0.00999999999999935,1.5406143496937066,0.6490917082518494,-6.277107379549989e-06,3.3588286343612684e-05,4.368637716014793e-05,0.0006481688396874055,-3.452609035687404e-07,-3.4757225334165157e-06
Ek1e-2,0.00999999999999935,1.7114258860777212,0.584308095451226,-5.701070920269494e-06,3.776674530602094e-05,4.7682278415808e-05,0.0007054409180217269,-4.1720649703858406e-07,-3.79725569247898e-06
Ek1e-2,0.00999999999999935,1.9011756992392221,0.5259903124157129,-4.768611014576134e-06,4.221845480035332e-05,5.158025978556775e-05,0.0007621757876651183,-4.884577374501634e-07,-4.104736233188136e-06
Ek1e-2,0.00999999999999935,2.111963520466233,0.473493026896242,-3.4977967075203906e-06,4.6926558934312426e-05,5.537692178764532e-05,0.000818358344305193,-5.570758527242754e-07,-4.395490293088228e-06
Ek1e-2,0.00999999999999935,2.346121883193122,0.42623531503784395,-1.925843020272051e-06,5.18616097457169e-05,5.907662912794412e-05,0.0008739126476213159,-6.215042222007997e-07,-4.667672139754382e-06
Ek1e-2,0.00999999999999935,2.606241934322106,0.38369423299917244,-1.008903513401134e-07,5.698696712451848e-05,6.268908329699636e-05,0.0009286967615814376,-6.807645546769563e-07,-4.920461266460804e-06
Ek1e-2,0.00999999999999935,2.8952021073066763,0.3453990301665922,1.92303016034891e-06,6.226137707745881e-05,6.62270525737044e-05,0.0009825082626346584,-7.345307065062529e-07,-5.154174950088246e-06
Ek1e-2,0.00999999999999935,3.2161999742872145,0.31092593992748335,4.088071553747045e-06,6.763920542750207e-05,6.970441053704478e-05,0.0010350976987217732,-7.830664172424475e-07,-5.370210246047312e-06
Ek1e-2,0.00999999999999935,3.5727876297478085,0.2798934903585598,6.33334127888882e-06,7.307005405056294e-05,7.313452648353519e-05,0.0010861874526388333,-8.270473989468757e-07,-5.570766312914195e-06
Ek1e-2,0.00999999999999935,3.9689109972423107,0.25195828293827266,8.59591755280239e-06,7.84991827990196e-05,7.652898948939988e-05,0.0011354923686905185,-8.673282678747293e-07,-5.7583959753079305e-06
Ek1e-2,0.00999999999999935,4.408953494149568,0.22681119257142165,1.0812840658341175e-05,8.386921096968303e-05,7.989665535762178e-05,0.0011827386038481907,-9.047264510697122e-07,-5.935558595210212e-06
Ek1e-2,0.00999999999999935,4.8977845376427585,0.2041739468762518,1.2924017376691796e-05,8.912282256020244e-05,8.324304381106203e-05,0.0012276787757911837,-9.398715202698875e-07,-6.104367107281497e-06
Ek1e-2,0.00999999999999935,5.440813428629626,0.18379604688114975,1.4875486358053961e-05,9.420587166789727e-05,8.657010120058927e-05,0.0012701031128300156,-9.731338675032458e-07,-6.2665820232426885e-06
