case,Ek,k_c,ell,Pi_m,P_m_resolved,chi_m_resolved,V_m_resolved,dV_m_dt,closure_residual
Ek1p5e-4,0.00014999999999973672,1.5707963267948966,0.6366197723675814,-7.01584453389097e-13,-3.3879517218205212e-15,6.369137193610928e-13,1.4351111172579408e-11,6.185074422908444e-14,-5.679619229008044e-16
Ek1p5e-4,0.00014999999999973672,1.730574642202341,0.5778427440306148,-1.046579395606717e-12,-6.781322578799789e-15,9.663056991876356e-13,2.1637436020281992e-11,7.409052191123568e-14,-5.981480709537194e-16
Ek1p5e-4,0.00014999999999973672,1.9066052938541225,0.5244924071193268,-1.5375070967995731e-12,-1.2159815618929317e-14,1.4402151560430644e-12,3.194679104687683e-11,8.568130853541831e-14,-5.491833978390735e-16
Ek1p5e-4,0.00014999999999973672,2.1005414374536637,0.4760677329042499,-2.20558742506e-12,-1.974361791241632e-14,2.0901779687563514e-12,4.582073241690267e-11,9.605907468891442e-14,-3.932362976820868e-16
Ek1p5e-4,0.00014999999999973672,2.314204384453731,0.4321139510052612,-3.0724348258735956e-12,-2.917365744805946e-14,2.9387142996415826e-12,6.354954948564562e-11,1.0465466469983353e-13,-1.0779591587994184e-16
Ek1p5e-4,0.00014999999999973672,2.5496007065287944,0.3922182785089789,-4.147108999401961e-12,-3.8974645669567794e-14,3.996928161017519e-12,8.513265060593812e-11,1.1088538890003321e-13,3.208038148410415e-16
Ek1p5e-4,0.00014999999999973672,2.808941079880707,0.3560060434028289,-5.425625536903589e-12,-4.563912737238223e-14,5.264866832828473e-12,1.1030695842474137e-10,1.1422537217306213e-13,8.942045296719682e-16
Ek1p5e-4,0.00014999999999973672,3.0946610463501147,0.3231371659198068,-6.892483374637058e-12,-4.2221146960103723e-14,6.734325109644676e-12,1.3862585889814453e-10,1.1433795481976007e-13,1.5991632125195507e-15
Ek1p5e-4,0.00014999999999973672,3.40944388630733,0.29330296474920753,-8.523324821387687e-12,-1.6428329104433298e-14,8.393286168817221e-12,1.695623562323178e-10,1.1120588559723498e-13,2.404437868796683e-15
Ek1p5e-4,0.00014999999999973672,3.7562458181287086,0.26622325811950753,-1.0287763562070469e-11,5.1843771221072645e-14,1.0231160009637606e-11,2.0261066810109689e-10,1.0519102158027437e-13,3.256302073660108e-15
Ek1p5e-4,0.00014999999999973672,4.13832376091424,0.24164373252881494,-1.21517859978515e-11,1.9405578937529067e-13,1.2244794308792367e-11,2.373717137867987e-10,9.697663566991118e-14,4.070842764511636e-15
Ek1p5e-4,0.00014999999999973672,4.559265921174213,0.21933355441185928,-1.4079655332908506e-11,4.590700837488149e-13,1.4446632027859385e-11,2.736243373833796e-10,8.737449904109058e-14,4.718889756844861e-15
Ek1p5e-4,0.00014999999999973672,5.0230254907335485,0.19908320231398285,-1.603554175615553e-11,9.246605831137027e-13,1.6878192362937314e-11,3.1139680309923425e-10,7.701912885361948e-14,4.990847478298779e-15
Ek1p5e-4,0.00014999999999973672,5.533957772320717,0.180702499213441,-1.798504431496937e-11,1.7252249040279142e-12,1.9639771783982375e-11,3.510726993212957e-10,6.602270202778162e-14,4.474732987128193e-15
Ek1p5e-4,0.00014999999999973672,6.096861081498616,0.16401882651296998,-1.9896528099353913e-11,3.1808010649485884e-12,2.30219013335469e-11,3.937315085005312e-10,5.370771391716277e-14,1.7201168384413708e-15
Ek1p5e-4,0.00014999999999973672,6.717021809059481,0.14887550292769114,-2.174190498829188e-11,6.725855309847568e-12,2.8441907323531414e-11,4.4322336376794776e-10,3.872298811180752e-14,-1.287001350377477e-14
Ek1p5e-4,0.00014999999999973672,7.400264067078031,0.1351303130450109,-2.349576935274437e-11,2.055358601796971e-11,4.4131132660721605e-11,5.180164131926959e-10,2.1190536180399155e-14,-1.0296782618791814e-13
Ek1p5e-4,0.00014999999999973672,8.153004384863584,0.12265417173778842,-2.5130230874526726e-11,8.322655795896476e-11,1.0892939077761594e-10,6.991680748850396e-10,1.2526479618272108e-14,-5.851284237427425e-13
Ek1p5e-4,0.00014999999999973672,8.982311968476939,0.11132991188788138,-2.6602388510226837e-11,3.2915492091716266e-10,3.582909633385188e-10,1.260317636282893e-09,6.1374400915376e-14,-2.595028312044667e-12
Ek1p5e-4,0.00014999999999973672,9.895975089726882,0.10105118403522567,-2.783690501276522e-11,1.1058870295241972e-09,1.1425597758763594e-09,2.895613911141995e-09,2.932688294709757e-13,-9.129110168868088e-12
Ek1p5e-4,0.00014999999999973672,10.902574228124951,0.0917214576187281,-2.871644161049176e-11,3.0947311695621726e-09,3.148669824681738e-09,6.9469869717086075e-09,9.367360875834583e-13,-2.6158949596657167e-11
Ek1p5e-4,0.00014999999999973672,12.0115626526961,0.08325311442933209,-2.909534961612326e-11,7.3280189314361726e-09,7.417683932508664e-09,1.5424148110864563e-08,2.299096893078081e-12,-6.286874834944516e-11
Ek1p5e-4,0.00014999999999973672,13.233355200412788,0.07556662576160632,-2.8838347035377e-11,1.5022027619751613e-08,1.5176426434189436e-08,3.066815178805976e-08,4.685067398355178e-12,-1.30245534800801e-10
Ek1p5e-4,0.00014999999999973672,14.579426084996916,0.06858980553624526,-2.7866874552890118e-11,2.7260198013842316e-08,2.751803863444206e-08,5.473499928933709e-08,8.295881597075633e-12,-2.38269627643931e-10
Ek1p5e-4,0.00014999999999973672,16.062416654640845,0.062257132379334355,-2.6189808873304712e-11,4.466709397524097e-08,4.5073063735843435e-08,8.87738769650659e-08,1.316149902553787e-11,-3.929414507546967e-10
Ek1p5e-4,0.00014999999999973672,17.69625411063211,0.05650913429182668,-2.3905854186067082e-11,6.721899190236026e-08,6.781824872925747e-08,1.326768283277475e-07,1.913388019364294e-11,-5.944848529047564e-10
Ek1p5e-4,0.00014999999999973672,19.49628230180323,0.05129183013048129,-2.1180576099756212e-11,9.425220426888333e-08,9.50847775135112e-08,1.8510985576409481e-07,2.5932907136765105e-11,-8.373255756648799e-10
Ek1p5e-4,0.00014999999999973672,21.479405823136005,0.046556222655045464,-1.8210416082111242e-11,1.2463201123017677e-07,1.257285479627766e-07,2.4384848462313033e-07,3.3215944805795364e-11,-1.1115422613235233e-09
