case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek1p5e-4,0.00014999999999973672,0.0,2.849405689532025e-34,-1.5326046008737956e-24,-1.0808707533956109e-41,-1.1974943305371985e-33,-1.8709370371593394e-37,-1.5326046020711022e-24
Ek1p5e-4,0.00014999999999973672,1.5707963267948966,2.9866072533737285e-11,1.376538009192337e-12,-2.380086550697163e-15,-1.2513030993469594e-12,1.2375853405530437e-13,-9.037107606242561e-16
Ek1p5e-4,0.00014999999999973672,3.141592653589793,2.255197233529631e-10,1.1720046068696545e-11,-1.6922832909339858e-13,-1.156574700799201e-11,5.580079039340935e-15,-2.0509347428204702e-14
Ek1p5e-4,0.00014999999999973672,4.71238898038469,5.157504686560416e-11,3.4759157529515226e-12,1.0700099016057251e-13,-3.749876030713577e-12,-1.6499566878103223e-13,-1.9636188204483763e-15
Ek1p5e-4,0.00014999999999973672,6.283185307179586,5.5680642818383486e-11,3.3312755351052646e-12,1.2453106955210455e-12,-4.5853460572311965e-12,-1.3778883090122664e-15,-7.38193829587398e-15
Ek1p5e-4,0.00014999999999973672,7.853981633974483,7.276285540239547e-11,2.0491779276826457e-12,4.25286790629526e-12,-6.257374733293758e-12,5.396818133551503e-14,-9.29708065136812e-15
Ek1p5e-4,0.00014999999999973672,9.42477796076938,5.157340383768313e-11,6.133825758138571e-13,4.738123881113437e-12,-5.312928547195431e-12,4.8474006992302786e-14,-9.89609726043925e-15
Ek1p5e-4,0.00014999999999973672,10.995574287564276,1.0193901689347726e-10,5.823865736075726e-13,1.221046100876888e-11,-1.2952209900176206e-11,-1.4250511372651962e-13,-1.6857204073233797e-14
Ek1p5e-4,0.00014999999999973672,12.566370614359172,1.2447104946760876e-10,4.1581165653217246e-13,1.9068061150987617e-11,-1.9694639883118748e-11,-1.634096317023328e-13,-4.7357443896619733e-14
Ek1p5e-4,0.00014999999999973672,14.137166941154069,1.3978156818554244e-10,7.119463678480078e-14,2.723467410248758e-11,-2.7507681451453102e-11,-1.187019654381837e-13,-8.31107467425382e-14
Ek1p5e-4,0.00014999999999973672,15.707963267948966,3.320046222992575e-10,1.1994084771756479e-14,7.764488564655722e-11,-7.817411891181962e-11,-2.3233885765366536e-13,-2.8490032283698047e-13
Ek1p5e-4,0.00014999999999973672,17.27875959474386,3.452769298753269e-10,-1.4049462015078536e-13,9.589099476472505e-11,-9.604886241980455e-11,1.5455238589168702e-13,-4.5291466112198617e-13
Ek1p5e-4,0.00014999999999973672,18.84955592153876,1.0868062719121484e-09,4.580012800459803e-13,3.534481387445186e-10,-3.563907105205944e-10,-5.948973495098598e-13,-1.8896731465199697e-12
Ek1p5e-4,0.00014999999999973672,20.420352248333657,8.56287034079919e-09,-1.628182232552889e-12,3.3352183907720267e-09,-3.358284934696904e-09,-3.4614217325868293e-12,-2.1233304424843266e-11
Ek1p5e-4,0.00014999999999973672,21.991148575128552,8.947586575766463e-08,-1.5428250349902013e-11,4.1131031036463345e-08,-4.137937642434942e-08,3.662005088982294e-11,-3.0039368912579896e-10
Ek1p5e-4,0.00014999999999973672,23.561944901923447,2.8879528471282474e-07,-1.9043860731390275e-11,1.475952144535903e-07,-1.4874986836132687e-07,6.914703583910782e-11,-1.242844804307096e-09
Ek1p5e-4,0.00014999999999973672,25.132741228718345,1.5984458363227082e-07,2.484775971132318e-13,8.950481107839451e-08,-9.046263337758644e-08,-1.9501406351476688e-11,-9.380724152433511e-10
Ek1p5e-4,0.00014999999999973672,26.703537555513243,1.6891770490250417e-08,7.385203578174381e-12,1.0506131719066653e-08,-1.0651764740713806e-08,-1.3888837662346633e-11,-1.2435898040663189e-10
Ek1p5e-4,0.00014999999999973672,28.274333882308138,2.987306410708148e-09,1.9176879584395175e-12,2.0897670670198145e-09,-2.1228935638365063e-09,-2.6974748683850688e-12,-2.851133398986685e-11
Ek1p5e-4,0.00014999999999973672,29.845130209103033,5.531668619969324e-10,2.417238122191592e-14,4.3037161133770586e-10,-4.374464538847553e-10,-5.014854572732257e-13,-6.549184708554389e-12
Ek1p5e-4,0.00014999999999973672,31.41592653589793,2.6769531516950237e-10,5.346199786018834e-13,2.2935059404081173e-10,-2.3381379831642887e-10,-1.9480603088552343e-13,-3.7337782661297954e-12
Ek1p5e-4,0.00014999999999973672,32.98672286269283,1.0813562580092699e-10,3.7266222801057036e-13,1.0227340099283162e-10,-1.0457871824393364e-10,-5.966717097624387e-14,-1.872987852115176e-12
Ek1p5e-4,0.00014999999999973672,34.55751918948772,6.668937435526603e-11,2.149691521285272e-13,6.898654982912958e-11,-7.063073328030845e-11,-7.60895398619818e-14,-1.353124759188367e-12
Ek1p5e-4,0.00014999999999973672,36.12831551628262,5.13010926558513e-11,2.3991751769056317e-13,5.8041428691290513e-11,-5.952800449679847e-11,-1.8288210856756848e-14,-1.228370076960639e-12
Ek1p5e-4,0.00014999999999973672,37.69911184307752,6.93191084608638e-11,4.292061658286443e-13,8.52410753478383e-11,-8.75995868721455e-11,-1.1223608082894863e-14,-1.918081750395656e-12
Ek1p5e-4,0.00014999999999973672,39.269908169872416,1.5975483801158146e-10,8.411482254336951e-13,2.1495038618761345e-10,-2.212748938369517e-10,3.880101217252318e-14,-5.522160436077097e-12
Ek1p5e-4,0.00014999999999973672,40.840704496667314,4.4905431907856327e-10,8.961305333473816e-13,6.519361439419261e-10,-6.707607362068164e-10,1.8262696608130523e-13,-1.81110886976244e-11
Ek1p5e-4,0.00014999999999973672,42.411500823462205,3.4823090403803614e-10,1.3484116716536805e-12,5.378660094456294e-10,-5.546793074154386e-10,1.576436375867791e-13,-1.5622529935742332e-11
Ek1p5e-4,0.00014999999999973672,43.982297150257104,1.1395076804311065e-10,6.624248524093137e-13,1.8788355578658118e-10,-1.940146974024621e-10,-6.215954346509756e-14,-5.406557220006494e-12
Ek1p5e-4,0.00014999999999973672,45.553093477052,2.7124297257786364e-11,5.1019600818222765e-14,4.7902440688889757e-11,-4.943467596902278e-11,-2.4698443463305053e-14,-1.4565172358514977e-12
Ek1p5e-4,0.00014999999999973672,47.12388980384689,2.2340187877818686e-11,1.186569274968961e-13,4.2328604203762624e-11,-4.3907681181721725e-11,1.0872222114249011e-14,-1.471292272576445e-12
Ek1p5e-4,0.00014999999999973672,48.69468613064179,2.5099074506961705e-11,-1.344011186483168e-13,5.079596332052892e-11,-5.2446974097391194e-11,1.5511472096963815e-14,-1.8009233676075562e-12
Ek1p5e-4,0.00014999999999973672,50.26548245743669,1.1545497344590239e-11,-6.086462209221194e-14,2.4554321423682926e-11,-2.5561508429066298e-11,-5.824700454286875e-15,-1.0622269270213013e-12
Ek1p5e-4,0.00014999999999973672,51.83627878423159,1.518751750155358e-12,-5.4775806038785664e-15,3.4384416610402627e-12,-3.5902144197089025e-12,-1.6966617792701918e-15,-1.5555367749324836e-13
Ek1p5e-4,0.00014999999999973672,53.40707511102649,3.4858296015087947e-13,4.576708482620381e-17,8.345021594484932e-13,-8.740238292036788e-13,-1.5172436563037062e-16,-3.932417830472898e-14
Ek1p5e-4,0.00014999999999973672,54.97787143782138,7.667404778331362e-14,1.5338305300767442e-15,1.9421093134477872e-13,-2.0541934483409307e-13,-7.766103709540888e-17,-9.596921922142204e-15
Ek1p5e-4,0.00014999999999973672,56.548667764616276,2.6697397332481664e-14,7.63197876607598e-16,7.336063715986089e-14,-7.762520854392646e-14,-3.2174542206502275e-17,-3.469198965251458e-15
Ek1p5e-4,0.00014999999999973672,58.119464091411174,1.671071169951839e-14,1.7238808142731358e-15,4.832924442335985e-14,-5.236672879693508e-14,3.2466109144125755e-18,-2.3168501702164975e-15
Ek1p5e-4,0.00014999999999973672,59.690260418206066,1.779647235526547e-14,2.1958009194405352e-15,5.595388940205618e-14,-6.070886764789797e-14,-9.33441687951162e-18,-2.5498429095217415e-15
Ek1p5e-4,0.00014999999999973672,61.261056745000964,3.160777686736298e-14,4.528824771238963e-15,1.0634547465460534e-13,-1.1559274954360798e-13,1.8535129484550504e-17,-4.736985247248173e-15
Ek1p5e-4,0.00014999999999973672,62.83185307179586,5.1098190393815143e-14,7.200002777663012e-15,1.8060973967707086e-13,-1.9683506991421948e-13,1.6056491824118915e-17,-9.041383951309724e-15
Ek1p5e-4,0.00014999999999973672,64.40264939859075,8.827340702494783e-14,1.0327001953960418e-14,3.296869910194359e-13,-3.568813195830644e-13,5.672762525213256e-17,-1.692405423492024e-14
Ek1p5e-4,0.00014999999999973672,65.97344572538566,4.886495070715772e-14,4.649932194970989e-15,1.913207249240872e-13,-2.0601260158925507e-13,9.394378545813258e-18,-1.0051338848742713e-14
Ek1p5e-4,0.00014999999999973672,67.54424205218055,2.1724693424074415e-14,1.8595118524304854e-15,8.836646673160241e-14,-9.5081953015964e-14,-2.0411814587183848e-17,-4.835562617343921e-15
Ek1p5e-4,0.00014999999999973672,69.11503837897544,6.176106633842975e-15,5.793826962171034e-16,2.607197227584743e-14,-2.8281178773562734e-14,-5.504385847503356e-18,-1.6243194156506967e-15
Ek1p5e-4,0.00014999999999973672,70.68583470577035,3.6804057744536296e-15,4.29098378692098e-16,1.6378748332683766e-14,-1.775158669406215e-14,1.3954901756231018e-19,-9.438795317038504e-16
Ek1p5e-4,0.00014999999999973672,72.25663103256524,3.713273114608921e-15,5.27394996213924e-16,1.735551381963914e-14,-1.8815799168072282e-14,1.0207936207257675e-18,-9.339111458399438e-16
Ek1p5e-4,0.00014999999999973672,73.82742735936014,2.9763625741695614e-15,4.457184148418818e-16,1.4498548561613704e-14,-1.5779514947631745e-14,6.9936525433345035e-19,-8.359473364304919e-16
Ek1p5e-4,0.00014999999999973672,75.39822368615503,1.4791134852543775e-15,2.3278129936656503e-16,7.494232407792332e-15,-8.175939930524122e-15,-6.470581436821634e-19,-4.482791652215447e-16
Ek1p5e-4,0.00014999999999973672,76.96902001294993,4.542141287660445e-16,7.752539573478794e-17,2.413495305714754e-15,-2.633924232247735e-15,-1.480978046616839e-19,-1.427554329935316e-16
Ek1p5e-4,0.00014999999999973672,78.53981633974483,2.2233466759065343e-16,4.367794729389828e-17,1.2538637550765747e-15,-1.365814655201854e-15,-9.95902484389057e-20,-6.817336258294232e-17
Ek1p5e-4,0.00014999999999973672,80.11061266653972,1.447847281593977e-16,3.313241469943771e-17,8.661787167331354e-16,-9.42230812798487e-16,-6.739441823274226e-20,-4.285228694768127e-17
Ek1p5e-4,0.00014999999999973672,81.68140899333463,1.6523785330413522e-16,4.1289594436367845e-17,1.0468769691065585e-15,-1.1364776728084782e-15,-4.0182588169155853e-22,-4.831070743967045e-17
Ek1p5e-4,0.00014999999999973672,83.25220532012952,2.992659579039793e-16,7.599201941463478e-17,1.9914220689779695e-15,-2.155210936700174e-15,1.4944298135203133e-19,-8.794629128892131e-17
Ek1p5e-4,0.00014999999999973672,84.82300164692441,2.92751776685581e-16,7.290667587014839e-17,2.0193166793899408e-15,-2.1854739342364087e-15,1.3924249952390376e-19,-9.338982147584354e-17
Ek1p5e-4,0.00014999999999973672,86.39379797371932,3.7718994276175434e-16,9.44768303760722e-17,2.6974269833337004e-15,-2.9135652121558872e-15,1.3895691987429824e-19,-1.2180035536598895e-16
Ek1p5e-4,0.00014999999999973672,87.96459430051421,3.2610133069170423e-16,7.917149961048497e-17,2.381080288856352e-15,-2.589566927744609e-15,1.0230501023077019e-19,-1.2941744428800218e-16
Ek1p5e-4,0.00014999999999973672,89.5353906273091,2.0884538599242937e-16,4.739287737502633e-17,1.5643777571598771e-15,-1.7039446975828432e-15,4.449521214637504e-20,-9.221855826008614e-17
