case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek3e-3,0.003000000000000819,0.0,7.0583937778234075e-34,-4.845285875956151e-21,-2.043238721714323e-39,-2.6265292980003647e-33,5.245475309091197e-36,-4.8452858759587825e-21
Ek3e-3,0.003000000000000819,0.39269908169872414,3.675018731157989e-05,3.407059321990156e-06,-5.124350845870197e-07,-2.7240803421715516e-06,1.2319829667855945e-07,4.734559855302485e-08
Ek3e-3,0.003000000000000819,0.7853981633974483,5.5343995685749557e-05,6.095825314165035e-06,-9.462375018101683e-07,-5.2737588860148395e-06,-8.332152249339924e-09,-1.1583892141063428e-07
Ek3e-3,0.003000000000000819,1.1780972450961724,0.0001613465722954858,2.2024396571927015e-05,-1.9151645333053095e-06,-2.0806085264643924e-05,-1.8055421418104895e-07,-5.162990118411733e-07
Ek3e-3,0.003000000000000819,1.5707963267948966,0.0005429580446885795,4.600140882178608e-05,1.4952994603854461e-05,-6.257324940775917e-05,1.3413265641624753e-07,-1.7529786385348446e-06
Ek3e-3,0.003000000000000819,1.9634954084936207,0.0007152459003316497,1.468137994917841e-05,4.48619777206009e-05,-6.161102891332455e-05,-3.9334302866931816e-07,-1.6743282148759319e-06
Ek3e-3,0.003000000000000819,2.356194490192345,0.00044840942872371276,-3.815898592290216e-06,3.5496686759318833e-05,-3.23557282653503e-05,9.715920169604487e-08,-7.720993000177172e-07
Ek3e-3,0.003000000000000819,2.748893571891069,0.0004704346084947669,-1.9227609960119672e-05,4.930665817167606e-05,-3.082390113364013e-05,-4.3268375558442525e-07,-3.121691664993196e-07
Ek3e-3,0.003000000000000819,3.141592653589793,0.00029920267215570933,-1.839766293180335e-05,3.6345775261986876e-05,-1.7814192753931884e-05,-1.685437421790621e-07,3.0246331843070497e-07
Ek3e-3,0.003000000000000819,3.5342917352885173,0.00017902092632546051,-1.562890715371935e-05,2.5190715355285436e-05,-9.829599141507784e-06,-4.4004641789504293e-07,1.722554779533434e-07
Ek3e-3,0.003000000000000819,3.9269908169872414,0.0001973468180052891,-1.891317335391978e-05,2.942295643503067e-05,-1.014995578984504e-05,5.184922679518032e-07,-1.5866497668597002e-07
Ek3e-3,0.003000000000000819,4.319689898685965,0.00018624399123932638,-2.2033979651246888e-05,3.113994952987785e-05,-8.704495295713075e-06,3.742295964815115e-07,2.724498643637301e-08
Ek3e-3,0.003000000000000819,4.71238898038469,0.00016144704465698322,-1.686678595867162e-05,2.536931055480921e-05,-8.132078532854447e-06,2.0965320223905765e-07,1.607928610440883e-07
Ek3e-3,0.003000000000000819,5.105088062083414,0.0001866432864897266,-2.317504822267702e-05,3.203702939800886e-05,-9.40403713992927e-06,-6.077074851665683e-07,6.56515205691447e-08
Ek3e-3,0.003000000000000819,5.497787143782138,0.00011259095830673882,-1.1419867972249588e-05,1.823672391107937e-05,-6.766489478382891e-06,-1.3797247244249596e-08,6.416370769114192e-08
Ek3e-3,0.003000000000000819,5.890486225480862,0.00011492069046867166,-1.1341829515302957e-05,1.8623943523802563e-05,-6.965393709548281e-06,-1.4838665399812126e-07,4.651069529494456e-07
Ek3e-3,0.003000000000000819,6.283185307179586,7.708613541948975e-05,-7.786605744661834e-06,1.3412648231730337e-05,-5.495596408257287e-06,4.1144037493218156e-08,8.930204131799474e-08
Ek3e-3,0.003000000000000819,6.675884388878311,6.614189435094397e-05,-7.129452018772479e-06,1.2445454095466943e-05,-5.846106541378624e-06,-2.06088656880232e-07,-3.240158078039304e-07
Ek3e-3,0.003000000000000819,7.0685834705770345,5.952558445261667e-05,-5.2573052191396885e-06,1.094157919684069e-05,-5.6172586989691e-06,-2.6231077889197374e-08,9.324635662110087e-08
Ek3e-3,0.003000000000000819,7.461282552275758,4.09980323528722e-05,-3.209926102244127e-06,8.05978192936324e-06,-4.668174343500914e-06,-1.8785037702919848e-08,2.0046652132111853e-07
