case,time,kinetic_energy,lc_w_z05_raw,lc_w_z_weighted_raw,convective_wavelength_z05_2pi_lc,convective_wavelength_z_weighted_2pi_lc,Lm_raw,MSE_integral_wavelength_2pi_Lm,mprime2_z025,mprime2_z050,mprime2_z075,mprime2_z_weighted
Ek7e-3_AR16,0.1,3.7568784e-12,0.0162939255,0.0164764254,0.10237775329787879,0.10352443398812054,0.018008753,0.11315233225022629,2.59269874e-09,5.42179176e-09,2.58961984e-09,2.59883735e-09
Ek7e-3_AR16,0.2,1.16075969e-11,0.0167393903,0.016930838,0.10517669118410448,0.10637959255983781,0.0186964829,0.11747346665321437,1.53207809e-09,3.31372802e-09,1.53475203e-09,1.56010362e-09
Ek7e-3_AR16,0.3,2.059579885e-11,0.0172064233,0.0174168824,0.10811114606767248,0.10943349959255473,0.0194342901,0.1221092460117857,1.02662099e-09,2.23889804e-09,1.02989906e-09,1.04558306e-09
Ek7e-3_AR16,0.4,2.939897955e-11,0.017696842,0.0179292871,0.1111925376378786,0.11265303327492449,0.020221127,0.12705308806101243,7.51114047e-10,1.63496129e-09,7.53015618e-10,7.5855718e-10
Ek7e-3_AR16,0.5,3.744858355e-11,0.0182116784,0.0184677192,0.11442735014195984,0.11603610193455834,0.021054971,0.13229228443029228,5.83988765e-10,1.26558877e-09,5.83683058e-10,5.82355569e-10
Ek7e-3_AR16,0.6,4.45415483e-11,0.0187516431,0.0190323145,0.11782004841139547,0.119583558828021,0.0219328456,0.13780813321855845,4.74461129e-10,1.02374619e-09,4.71586696e-10,4.66131664e-10
Ek7e-3_AR16,0.7,5.06544955e-11,0.0193171919,0.0196231294,0.12137349632204851,0.12329575832696378,0.0228509123,0.1435765164190093,3.98725905e-10,8.56933962e-10,3.93135219e-10,3.85376147e-10
Ek7e-3_AR16,0.8,5.5849591e-11,0.01990854,0.020240019,0.12508904601539708,0.12717178999783568,0.0238046278,0.1495688876358387,3.44376008e-10,7.37300937e-10,3.36026212e-10,3.27125958e-10
Ek7e-3_AR16,0.9,6.02253215e-11,0.0205256652,0.0208826013,0.12896655800472734,0.13120925366384933,0.0247889558,0.1557536028628842,3.04348125e-10,6.48978377e-10,2.93247894e-10,2.83955132e-10
Ek7e-3_AR16,1.0,6.3890629e-11,0.0211683073,0.0215502477,0.13300439740522238,0.13540419971472067,0.0257986075,0.1620974315896931,2.74333952e-10,5.82354606e-10,2.60515066e-10,2.51323541e-10
Ek7e-3_AR16,1.1,6.695165e-11,0.0218359693,0.0222420837,0.13719944147378452,0.13975113350489857,0.0268282815,0.1685670641376779,2.51563592e-10,5.31307038e-10,2.35065016e-10,2.26308646e-10
Ek7e-3_AR16,1.2,6.9505398e-11,0.0225279204,0.022956997,0.14154709845859126,0.14424306624736583,0.0278728766,0.1751304487219497,2.3418273e-10,4.91772963e-10,2.15041706e-10,2.069514e-10
Ek7e-3_AR16,1.3,7.16372685e-11,0.0232432033,0.0236936508,0.14604135346634808,0.14887159858000384,0.0289276549,0.18175781623884155,2.20909814e-10,4.60965382e-10,1.99157161e-10,1.91895662e-10
Ek7e-3_AR16,1.4,7.3420601e-11,0.0239806452,0.024450503,0.15067483757732666,0.1536270412027504,0.0299883464,0.18842233748709183,2.10835929e-10,4.36919187e-10,1.8649393e-10,1.80177871e-10
Ek7e-3_AR16,1.5,7.491731e-11,0.0247388746,0.0252258297,0.15543893340287826,0.15849856253245442,0.0310511956,0.19510041596427943,2.03302331e-10,4.18216319e-10,1.763842e-10,1.71098449e-10
Ek7e-3_AR16,1.6,7.61790065e-11,0.0255163412,0.026017753,0.16032390012082112,0.16347436337542762,0.0321129603,0.20177168032700135,1.97822618e-10,4.03812857e-10,1.6833293e-10,1.64140093e-10
Ek7e-3_AR16,1.7,7.724829e-11,0.026311342,0.0268242724,0.16531903746657717,0.1685418742194629,0.0331708766,0.20841876447938718,1.940317e-10,3.92926731e-10,1.61967376e-10,1.58914175e-10
Ek7e-3_AR16,1.8,7.81600435e-11,0.0271220492,0.0276432987,0.17041286103404185,0.17368796823381655,0.0342226046,0.2150269663961365,1.91651486e-10,3.84962793e-10,1.57003075e-10,1.55124628e-10
