time,A_m,sqrt_A_m
0.1,0.0092542146,0.0961988285
0.2,0.00542638168,0.0736639782
0.3,0.0035830006,0.0598581707
0.4,0.00257617576,0.0507560416
0.5,0.00196924907,0.0443762219
0.6,0.00157573822,0.0396955693
0.7,0.00130691503,0.0361512798
0.8,0.00111632453,0.0334114431
0.9,0.000977623277,0.0312669678
1.0,0.000874888637,0.0295785165
1.1,0.000798004229,0.0282489686
1.2,0.00074028758,0.0272082263
1.3,0.00069718757,0.0264043097
1.4,0.000665528936,0.0257978475
1.5,0.000643053916,0.0253585078
1.6,0.000628133683,0.0250625953
1.7,0.00061958105,0.0248913851
1.8,0.000616525739,0.0248299363
1.9,0.000618329469,0.0248662315
2.0,0.000624527133,0.0249905409
2.1,0.000634785242,0.0251949448
2.2,0.000648872269,0.0254729713
2.3,0.000666637246,0.0258193192
2.4,0.000687994005,0.0262296398
2.5,0.000712909697,0.0267003689
2.6,0.000741396136,0.0272285904
2.7,0.00077350348,0.0278119305
2.8,0.000809315471,0.0284484705
2.9,0.000848945835,0.0291366751
3.0,0.000892535705,0.0298753361
3.1,0.000940251608,0.0306635224
3.2,0.000992284182,0.0315005426
3.3,0.00104884706,0.0323859084
3.4,0.00111017616,0.0333193061
3.5,0.00117652918,0.0343005711
3.6,0.0012481853,0.035329666
3.7,0.00132544498,0.0364066612
3.8,0.00140862969,0.0375317158
3.9,0.00149808181,0.0387050618
4.0,0.00159416445,0.0399269891
4.1,0.00169726116,0.0411978296
4.2,0.00180777575,0.0425179462
4.3,0.00192613184,0.0438877185
4.4,0.00205277221,0.0453075293
4.5,0.00218815802,0.0467777513
4.6,0.00233276792,0.0482987362
4.7,0.0024870967,0.0498708
4.8,0.00265165386,0.0514942119
4.9,0.00282696196,0.0531691825
5.0,0.00301355459,0.0548958522
5.1,0.00321197367,0.056674277
5.2,0.00342276647,0.0585044141
5.3,0.00364648291,0.0603861152
5.4,0.00388367127,0.0623191084
5.5,0.00413487401,0.064302986
5.6,0.00440062203,0.0663371843
5.7,0.00468142848,0.0684209652
5.8,0.0049777879,0.07055344
5.9,0.00529017422,0.0727335838
6.0,0.00561902555,0.0749601597
6.1,0.00596473816,0.0772317173
6.2,0.00632765995,0.0795465898
6.3,0.00670806769,0.0819027942
6.4,0.00710613989,0.0842979234
6.5,0.00752195076,0.0867291805
6.6,0.00795546214,0.0891933974
6.7,0.00840647571,0.091686835
6.8,0.00887468524,0.0942055478
6.9,0.00935965635,0.0967453169
7.0,0.0098606092,0.0993006002
7.1,0.0103765984,0.10186559
7.2,0.0109066689,0.104434999
7.3,0.0114496332,0.107002959
7.4,0.0120037266,0.10956152
7.5,0.0125670832,0.112103003
7.6,0.0131377845,0.114620175
7.7,0.0137134206,0.117104315
7.8,0.014291824,0.119548417
7.9,0.0148711138,0.121947176
8.0,0.0154492527,0.124295023
8.1,0.0160240671,0.126586204
8.2,0.0165935314,0.128815882
8.3,0.0171552381,0.130978006
8.4,0.0177069576,0.133067493
8.5,0.0182467058,0.135080368
8.6,0.0187722405,0.137011826
8.7,0.0192815924,0.138858174
8.8,0.0197728465,0.140615954
8.9,0.0202440549,0.142281604
9.0,0.0206932927,0.143851634
9.1,0.0211188495,0.145323259
9.2,0.0215198749,0.14669654
9.3,0.0218952369,0.147970392
9.4,0.0222444577,0.14914576
9.5,0.0225668893,0.150222799
9.6,0.0228623055,0.151202862
9.7,0.023131074,0.152089033
9.8,0.0233731575,0.152882823
9.9,0.0235885217,0.153585552
10.0,0.0237770189,0.154197986
10.1,0.0239394175,0.154723681
10.2,0.0240757376,0.155163583
10.3,0.0241862185,0.15551919
10.4,0.024271754,0.155793947
10.5,0.0243326998,0.155989422
10.6,0.0243697892,0.156108261
