Ra_label,Ra,Pr,Ek_label,Ek,rotation,AR,beta,q_label,Nx,Ny,Nz,run_path,case_path,max_T_kinetic,max_T_mprime,n_kinetic,n_mprime,source_run_paths
Ra1e8,100000000.0,0.7,norotating,,norotating,16.0,1.02,qbot1_qtop0p004978,257,257,65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65,999.999,999.999,10000,10000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run']
Ra1e8,100000000.0,0.7,norotating,,norotating,16.0,1.3,qbot1_qtop0p004978,257,257,65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p30/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p30/qbot1_qtop0p004978/N257x257x65,800.002,800.002,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p30/qbot1_qtop0p004978/N257x257x65/run']
Ra1e8,100000000.0,0.7,norotating,,norotating,16.0,1.4,qbot1_qtop0p004978,257,257,65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p40/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p40/qbot1_qtop0p004978/N257x257x65,593.201,593.201,5932,5932,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p40/qbot1_qtop0p004978/N257x257x65/run']
Ra8e6,8000000.0,0.7,Ek1e-2,0.01,rotating,16.0,1.02,qbot1_qtop0p004978,257,257,65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65,800.002,800.002,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run']
Ra8e6,8000000.0,0.7,Ek1e-3,0.001,rotating,16.0,1.02,qbot1_qtop0p004978,257,257,65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65,800.002,800.002,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run']
Ra8e6,8000000.0,0.7,Ek3e-3,0.003,rotating,16.0,1.02,qbot0p5_qtop0p004978,257,257,65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,734.097,734.097,7341,7341,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run']
Ra8e6,8000000.0,0.7,Ek3e-3,0.003,rotating,16.0,1.02,qbot1_qtop0p004978,257,257,65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65,800.002,800.002,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run']
Ra8e6,8000000.0,0.7,Ek3e-4,0.0003,rotating,10.0,1.02,qbot1_qtop0p004978,257,257,129,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-4/AR10/Beta1p02/qbot1_qtop0p004978/N257x257x129/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-4/AR10/Beta1p02/qbot1_qtop0p004978/N257x257x129,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-4/AR10/Beta1p02/qbot1_qtop0p004978/N257x257x129/run']
Ra8e6,8000000.0,0.7,Ek7e-3,0.007,rotating,16.0,1.02,qbot1_qtop0p004978,257,257,65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65,800.002,800.002,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run']
Ra8e6,8000000.0,0.7,norotating,,norotating,16.0,1.02,qbot0p5_qtop0p004978,257,257,65,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,232.5,232.5,2325,2325,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run']
