time,A_m,sqrt_A_m
0.1,0.00929398007,0.0964052907
0.2,0.00545100557,0.0738309255
0.3,0.00359968374,0.0599973645
0.4,0.00258819899,0.0508743451
0.5,0.00197824283,0.0444774419
0.6,0.00158258807,0.0397817556
0.7,0.00131213816,0.0362234476
0.8,0.00112023663,0.0334699362
0.9,0.000980418625,0.0313116372
1.0,0.000876681878,0.0296088142
1.1,0.000798853849,0.0282640027
1.2,0.000740209855,0.0272067979
1.3,0.000696165121,0.0263849412
1.4,0.000663516025,0.0257588048
1.5,0.000639979501,0.0252978161
1.6,0.000623902998,0.0249780503
1.7,0.000614076068,0.0247805583
1.8,0.000609604872,0.0246901777
1.9,0.000609826644,0.0246946683
2.0,0.000614250306,0.0247840736
2.1,0.000622514531,0.0249502411
2.2,0.000634357697,0.0251864586
2.3,0.000649596092,0.025487175
2.4,0.000668107848,0.0258477823
2.5,0.000689821042,0.0262644444
2.6,0.00071470473,0.0267339621
2.7,0.000742762281,0.0272536655
2.8,0.000774026225,0.0278213268
2.9,0.000808554329,0.0284350898
3.0,0.000846426614,0.0290934119
3.1,0.000887742915,0.0297950149
3.2,0.000932621073,0.0305388453
3.3,0.000981195492,0.0313240402
3.4,0.00103361597,0.0321498985
3.5,0.00109004671,0.0330158554
3.6,0.00115066543,0.0339214597
3.7,0.00121566272,0.0348663551
3.8,0.0012852413,0.0358502623
3.9,0.00135961538,0.0368729628
4.0,0.00143901007,0.0379342862
4.1,0.00152366068,0.0390340964
4.2,0.00161381187,0.0401722774
4.3,0.00170971697,0.0413487239
4.4,0.00181163698,0.0425633291
4.5,0.00191983985,0.0438159771
4.6,0.00203459923,0.045106532
4.7,0.00215619319,0.0464348274
4.8,0.00228490303,0.0478006593
4.9,0.00242101177,0.049203778
5.0,0.00256480242,0.0506438784
5.1,0.00271655613,0.0521205922
5.2,0.00287655013,0.0536334796
5.3,0.00304505555,0.055182022
5.4,0.00322233474,0.0567656123
5.5,0.00340863866,0.0583835479
5.6,0.00360420302,0.0600350149
5.7,0.00380924325,0.0617190672
5.8,0.00402394865,0.0634346014
5.9,0.00424847589,0.0651803336
6.0,0.0044829463,0.0669548079
6.1,0.004727437,0.0687563597
6.2,0.00498197436,0.0705831025
6.3,0.00524653512,0.0724329698
6.4,0.005521043,0.0743037213
6.5,0.00580535639,0.0761928894
6.6,0.00609924695,0.0780976757
6.7,0.00640238027,0.0800148753
6.8,0.00671432301,0.0819409727
6.9,0.00703449932,0.0838719221
7.0,0.00736217887,0.0858031402
7.1,0.00769646775,0.0877295147
7.2,0.00803626457,0.089645215
7.3,0.00838045515,0.0915448259
7.4,0.00872782469,0.0934228275
7.5,0.00907705729,0.0952735918
7.6,0.00942682597,0.097091843
7.7,0.00977545119,0.0988708814
7.8,0.0101211873,0.100604112
7.9,0.010462309,0.102285429
8.0,0.0107968828,0.10390805
8.1,0.0111225028,0.105463277
8.2,0.0114374832,0.10694617
8.3,0.0117400868,0.108351681
8.4,0.0120291132,0.109677314
8.5,0.0123034676,0.110920997
8.6,0.0125622983,0.112081659
8.7,0.0128047069,0.113157885
8.8,0.0130297985,0.114148143
8.9,0.013237218,0.115053109
9.0,0.0134265758,0.115873102
9.1,0.0135976253,0.116608856
9.2,0.0137502447,0.117261437
9.3,0.013884478,0.117832415
9.4,0.0140007234,0.118324653
9.5,0.0140993451,0.118740663
9.6,0.0141811777,0.11908475
9.7,0.0142468247,0.119360063
9.8,0.0142964954,0.119567953
9.9,0.0143314177,0.119713899
10.0,0.0143523424,0.119801262
10.1,0.0143600105,0.119833261
10.2,0.0143554432,0.119814203
10.3,0.0143394672,0.119747514
10.4,0.0143129848,0.119636887
10.5,0.0142768614,0.119485821
10.6,0.0142321704,0.119298661
10.7,0.0141796573,0.119078366
10.8,0.014119915,0.118827248
10.9,0.0140537532,0.118548527
11.0,0.013981827,0.118244776
11.1,0.0139045835,0.117917698
