time,A_m,sqrt_A_m
0.098,0.0106514645,0.103205933
0.203,0.0068792542,0.0829412696
0.301,0.00509016775,0.0713454115
0.399,0.00404480588,0.0635987884
0.497,0.00337679117,0.0581101641
0.602,0.00289333944,0.0537897708
0.7,0.00257366611,0.0507313129
0.798,0.00233707476,0.0483433011
0.903,0.00214785056,0.0463449087
1.001,0.00201506545,0.0448894804
1.099,0.00191438586,0.0437536954
1.197,0.00183900224,0.0428835894
1.302,0.00178082832,0.0421998616
1.4,0.00174390698,0.0417601123
1.498,0.00172110201,0.0414861665
1.603,0.00171011944,0.0413535904
1.701,0.00171084544,0.0413623674
1.799,0.0017209943,0.0414848683
1.897,0.00173967485,0.0417094096
2.002,0.00176836683,0.042051954
2.1,0.00180266748,0.0424578318
2.198,0.00184379463,0.0429394298
2.303,0.00189505988,0.0435322855
2.401,0.0019493575,0.0441515288
2.499,0.00200968374,0.0448294963
2.597,0.00207589338,0.045561973
2.702,0.0021532414,0.0464030322
2.8,0.00223133757,0.047237036
2.898,0.00231508748,0.048115356
3.003,0.00241106592,0.049102606
3.101,0.00250646861,0.0500646443
3.199,0.00260750108,0.0510636963
3.297,0.00271418269,0.0520978185
3.402,0.00283478616,0.0532427099
3.5,0.00295326964,0.0543439936
3.598,0.0030775123,0.0554753305
3.703,0.00321707548,0.056719269
3.801,0.0033534059,0.0579085995
3.899,0.00349564635,0.0591239913
3.997,0.00364384644,0.0603642811
4.102,0.00380930644,0.0617195791
4.2,0.00397001414,0.0630080482
4.298,0.00413682666,0.0643181674
4.403,0.00432236251,0.0657446766
4.501,0.00450191585,0.0670963177
4.599,0.00468766279,0.0684665085
4.697,0.00487962952,0.0698543451
4.802,0.00509224404,0.071359961
4.9,0.00529715578,0.0727815621
4.998,0.00550827961,0.074217785
5.103,0.00574132117,0.0757715063
5.201,0.00596513366,0.0772342778
5.299,0.00619491535,0.0787077846
5.397,0.00643049922,0.0801903935
5.502,0.00668926512,0.0817879277
5.6,0.0069366627,0.0832866298
5.698,0.00718951234,0.0847909921
5.803,0.00746609788,0.0864065847
5.901,0.00772920731,0.0879159104
5.999,0.00799677995,0.0894247166
6.097,0.00826856357,0.0909316423
6.202,0.00856402915,0.0925420399
6.3,0.00884334899,0.0940390823
6.398,0.00912553235,0.0955276523
6.503,0.0094304688,0.0971106009
6.601,0.00971675732,0.0985736137
6.699,0.010003809,0.100019043
6.797,0.010290941,0.101444276
6.902,0.0105979922,0.10294655
7.0,0.0108834354,0.104323705
7.098,0.0111666818,0.105672522
7.203,0.011466371,0.107081142
7.301,0.0117415874,0.108358605
7.399,0.0120114317,0.109596678
7.497,0.012274901,0.110792152
7.602,0.0125490437,0.112022514
7.7,0.0127962879,0.113120678
7.798,0.0130345114,0.114168785
7.903,0.0132784337,0.115232086
8.001,0.0134941317,0.116164244
8.099,0.0136977629,0.117037442
8.197,0.0138888662,0.117851034
8.302,0.0140792996,0.118656224
8.4,0.0142431486,0.119344663
8.498,0.0143932259,0.119971771
8.603,0.0145384566,0.120575522
8.701,0.0146592818,0.121075521
8.799,0.0147661045,0.121515861
8.897,0.0148594326,0.121899273
9.002,0.0149445051,0.12224772
9.1,0.0150099069,0.122514925
9.198,0.0150618056,0.122726548
9.303,0.0151031447,0.122894852
9.401,0.0151283652,0.122997419
9.499,0.0151408539,0.123048177
9.597,0.0151410297,0.123048891
9.702,0.0151284594,0.122997802
9.8,0.0151053386,0.122903778
9.898,0.0150718017,0.122767266
10.003,0.0150242985,0.122573645
10.101,0.0149695349,0.122350051
10.199,0.0149057173,0.122088973
10.297,0.0148335385,0.121793015
10.402,0.014747627,0.121439808
10.5,0.0146599289,0.121078193
10.598,0.0145652649,0.120686639
10.703,0.0144568687,0.12023672
10.801,0.0143498706,0.119790946
10.899,0.0142379089,0.119322709
10.997,0.0141216472,0.118834537
11.102,0.0139931014,0.11829244
11.2,0.013869983,0.117770892
11.298,0.013744057,0.11723505
11.403,0.0136066807,0.116647678
11.501,0.0134762888,0.116087419
11.599,0.0133440046,0.115516252
11.697,0.0132100346,0.114934915
11.802,0.0130647003,0.11430092
11.9,0.0129276052,0.113699627
11.998,0.012789328,0.113089911
12.103,0.0126398001,0.112426865
12.201,0.0124991495,0.111799595
12.299,0.0123578527,0.111165879
12.397,0.0122158931,0.110525532
12.502,0.0120631342,0.1098323
12.6,0.011920252,0.109179906
12.698,0.0117771601,0.108522625
