time,L_peak,L_integral,ell_m,lambda_m_2pi_ell_m,cluster_count_mprime_gt0,mean_radius_mprime_gt0,max_radius_mprime_gt0,cluster_count_mprime_gtsigma,mean_radius_mprime_gtsigma,max_radius_mprime_gtsigma
0.098,0.133333333,0.031989378,0.0263599464,0.165624428,232.0,0.0747075239,6.31059038,4747.0,0.0488254878,0.161590092
0.203,0.133333333,0.0327447497,0.0268117638,0.168463281,256.0,0.0744948042,6.29579552,4678.0,0.0491177836,0.161590092
0.301,0.133333333,0.0334741861,0.0272460615,0.171192053,271.0,0.0730079567,6.2935239,4610.0,0.0493851911,0.165392732
0.399,0.133333333,0.0342279129,0.027691859,0.173993081,285.0,0.0716567146,6.29451166,4525.0,0.0497443082,0.165392732
0.497,0.133333333,0.0350061787,0.0281482848,0.176860889,309.0,0.0704408195,6.28640743,4432.0,0.0501588567,0.183225942
0.602,0.133333333,0.0358599931,0.0286479506,0.180000382,320.0,0.0704109698,6.28324197,4345.0,0.0505734063,0.183225942
0.7,0.133333333,0.036672397,0.0291231004,0.182985837,332.0,0.0704777373,6.27819372,4262.0,0.0509589798,0.183225942
0.798,0.133333333,0.0374972317,0.029605679,0.186017968,344.0,0.0708606137,6.27135726,4197.0,0.051234786,0.186588166
0.903,0.183908046,0.0383923419,0.0301299015,0.189311755,357.0,0.0700297765,6.26689469,4119.0,0.0516266227,0.183225942
1.001,0.183908046,0.0392364962,0.0306250212,0.192422684,365.0,0.0694107222,6.26808502,4052.0,0.0520460539,0.183225942
1.099,0.183908046,0.0400876414,0.0311251318,0.195564971,373.0,0.0697347586,6.26193254,3972.0,0.0524955232,0.183225942
1.197,0.205128205,0.0409447543,0.0316297657,0.198735679,374.0,0.0702392485,6.25766194,3907.0,0.0528200487,0.186588166
1.302,0.32,0.0418689257,0.0321751159,0.202162216,376.0,0.0706331371,6.25090249,3821.0,0.0534045393,0.189890868
1.4,0.32,0.0427364921,0.0326882938,0.205386607,388.0,0.0701079056,6.24851505,3758.0,0.0537902056,0.189890868
1.498,0.32,0.0436086871,0.0332054598,0.208636057,380.0,0.071010027,6.24363787,3678.0,0.0542780003,0.186588166
1.603,0.32,0.0445482677,0.0337640339,0.212145682,376.0,0.0728528661,6.23237594,3581.0,0.0549289871,0.186588166
1.701,0.32,0.0454300123,0.0342896398,0.215448161,379.0,0.0725380749,6.22908322,3511.0,0.0553157163,0.186588166
1.799,0.32,0.0463165001,0.0348194988,0.218777363,383.0,0.0735397847,6.21629494,3424.0,0.0559282244,0.186588166
1.897,0.32,0.0472078451,0.0353537485,0.222134153,385.0,0.0740076791,6.21079189,3352.0,0.0564731213,0.189890868
2.002,0.32,0.0481683533,0.0359311775,0.225762246,383.0,0.0745466819,6.20999104,3274.0,0.0569872404,0.189890868
2.1,0.32,0.0490700069,0.0364749059,0.229178593,391.0,0.0735662233,6.21209305,3213.0,0.0574510665,0.189890868
2.198,0.32,0.0499766454,0.0370233348,0.232624473,399.0,0.074676697,6.19575873,3154.0,0.0579277063,0.196329666
2.303,0.32,0.0509534765,0.0376161829,0.236349447,395.0,0.07418082,6.19676208,3064.0,0.0586858856,0.196329666
2.401,0.4,0.051870087,0.0381743835,0.239856726,397.0,0.0743040402,6.19013699,3000.0,0.0592642268,0.19947114
2.499,0.4,0.052791198,0.0387372267,0.243393173,393.0,0.0770985992,6.16447317,2944.0,0.0598188078,0.19947114
2.597,0.4,0.0537165239,0.0393046076,0.246958133,392.0,0.0780518339,6.15387461,2889.0,0.0604009376,0.196329666
2.702,0.4,0.054712242,0.0399173918,0.250808369,401.0,0.0797577548,6.12135948,2829.0,0.0609408454,0.220210176
2.8,0.4,0.0556451914,0.040493691,0.254429364,399.0,0.0799272126,6.11719401,2768.0,0.0616119588,0.220210176
2.898,0.4,0.0565812103,0.0410740012,0.258075561,406.0,0.0797535069,6.11394094,2713.0,0.0621639004,0.220210176
3.003,0.4,0.0575870001,0.0416999558,0.26200855,404.0,0.0803835131,6.1066152,2663.0,0.062683689,0.220210176
3.101,0.4,0.0585279729,0.0422878303,0.265702274,402.0,0.0814287733,6.09428405,2613.0,0.0631505164,0.223015515
3.199,0.4,0.0594706219,0.0428789536,0.269416411,403.0,0.0816754777,6.08713892,2564.0,0.0637552488,0.223015515
3.297,0.4,0.060414464,0.0434730395,0.273149163,405.0,0.0817731262,6.07957636,2514.0,0.0643098723,0.231227407
