time,ell_w_z075,lambda_w_z075
0.098,0.0239392872,0.150414978
0.203,0.0242700303,0.152493098
0.301,0.0245799688,0.154440499
0.399,0.024892754,0.156405786
0.497,0.0252095733,0.158396421
0.602,0.0255544438,0.160563306
0.7,0.025881929,0.162620956
0.798,0.0262150931,0.164714288
0.903,0.0265784293,0.166997196
1.001,0.0269234029,0.169164729
1.099,0.0272738319,0.17136654
1.197,0.0276294321,0.173600842
1.302,0.0280157672,0.176028257
1.4,0.0283808847,0.178322358
1.498,0.0287498939,0.180640911
1.603,0.0291489508,0.18314826
1.701,0.0295241666,0.18550581
1.799,0.0299013042,0.187875435
1.897,0.0302796049,0.190252368
2.002,0.0306854976,0.192802668
2.1,0.0310644945,0.195183975
2.198,0.0314434711,0.197565155
2.303,0.0318489713,0.200112989
2.401,0.032225973,0.20248176
2.499,0.0326008588,0.204837237
2.597,0.0329737705,0.207180311
2.702,0.0333720538,0.209682798
2.8,0.0337435966,0.21201727
2.898,0.0341151145,0.214351586
3.003,0.0345107419,0.216837387
3.101,0.0348735707,0.219117107
3.199,0.0352282704,0.221345751
3.297,0.0355780715,0.223543616
3.402,0.0359560019,0.225918223
3.5,0.0363206501,0.228209375
3.598,0.0367002536,0.230594494
3.703,0.0371190995,0.233226181
3.801,0.0375168336,0.235725218
3.899,0.0379221395,0.23827183
3.997,0.0383390853,0.240891577
4.102,0.0388020928,0.24380074
4.2,0.0392482894,0.246604275
4.298,0.0397016885,0.249453066
4.403,0.0401857646,0.252494606
4.501,0.0406269894,0.255266903
4.599,0.0410521803,0.257938456
4.697,0.0414609001,0.260506518
4.802,0.0418806224,0.263143711
4.9,0.0422642184,0.265553916
4.998,0.0426656058,0.268075908
5.103,0.0431287089,0.27098567
5.201,0.0435721729,0.273772036
5.299,0.0440103712,0.276525318
5.397,0.0444296566,0.279159766
5.502,0.0448676854,0.281911982
5.6,0.0453118589,0.284702806
5.698,0.045789182,0.287701916
5.803,0.0462755878,0.290758094
5.901,0.046706642,0.293466487
5.999,0.0471682154,0.296366638
6.097,0.0476605757,0.299460229
6.202,0.0481859628,0.302761333
6.3,0.048679604,0.305862973
6.398,0.049165006,0.308912843
6.503,0.049648652,0.311951681
6.601,0.0500909128,0.314730487
6.699,0.0505631087,0.317697382
6.797,0.0510863466,0.320984983
