Pr,Ra,Ek,AR,beta,gamma,alphaqs,tau,qbot,qtop,Nx,Ny,Nz,time_min,time_max,anchor_path,source_run_paths,mprime_sources
0.7,8000000.0,0.00014999999999973672,4.0,1.02,1.1,3.0,0.001,0.5,0.004978,257,257,65,0.1,1200.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run']",['diagnostics/thermo/mprime_square.dat']
0.7,8000000.0,0.00020000000000066313,4.0,1.02,1.1,3.0,0.001,0.5,0.004978,257,257,65,0.1,600.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run'],['diagnostics/thermo/mprime_square.dat']
0.7,8000000.0,,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,257,257,65,0.1,1951.3,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run'],['data/mse_aggregation.out']
0.7,8000000.0,0.003000000000000819,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,800.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run'],['diagnostics/thermo/mprime_square.dat']
0.7,8000000.0,0.004999999999999675,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,800.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run'],['diagnostics/thermo/mprime_square.dat']
0.7,8000000.0,0.007000000000004278,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,1000.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run']",['diagnostics/thermo/mprime_square.dat']
0.7,8000000.0,0.00999999999999935,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,800.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run'],['diagnostics/thermo/mprime_square.dat']
0.7,8000000.0,0.03000000000000819,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,800.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/run'],['diagnostics/thermo/mprime_square.dat']
0.7,8000000.0,0.0003000000000000819,10.0,1.02,1.1,3.0,0.001,1.0,0.004978,257,257,129,0.1,800.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-4/AR10/Beta1p02/qbot1_qtop0p004978/N257x257x129,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-4/AR10/Beta1p02/qbot1_qtop0p004978/N257x257x129/run'],['data/mse_aggregation.out']
0.7,8000000.0,,16.0,1.02,1.1,3.0,0.001,1.0,0.004978,257,257,65,0.1,152.6,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot1_qtop0p004978/N257×257×65,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot1_qtop0p004978/N257×257×65/run'],['data/mse_aggregation.out']
