Ra,Ek,AR,beta,qbot,Nx,Ny,Nz,time_min,time_max,kinetic_mprime_dual_axis_png,lm_png
8000000.0,0.00014999999999973672,4.0,1.02,0.5,257,257,65,0.1,1200.0,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek1p5e-4_AR4_Beta1p02_qbot0p5_N257x257x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek1p5e-4_AR4_Beta1p02_qbot0p5_N257x257x65_lm_timeseries.png
8000000.0,0.00020000000000066313,4.0,1.02,0.5,257,257,65,0.1,1200.0,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek2e-4_AR4_Beta1p02_qbot0p5_N257x257x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek2e-4_AR4_Beta1p02_qbot0p5_N257x257x65_lm_timeseries.png
8000000.0,,16.0,1.02,0.5,385,385,65,0.1,1141.8,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_EkNR_AR16_Beta1p02_qbot0p5_N385x385x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_EkNR_AR16_Beta1p02_qbot0p5_N385x385x65_lm_timeseries.png
8000000.0,0.0004999999999999675,16.0,1.02,0.5,385,385,65,0.1,800.0,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek5e-4_AR16_Beta1p02_qbot0p5_N385x385x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek5e-4_AR16_Beta1p02_qbot0p5_N385x385x65_lm_timeseries.png
8000000.0,0.0007000000000004278,16.0,1.02,0.5,385,385,65,0.1,800.0,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek7e-4_AR16_Beta1p02_qbot0p5_N385x385x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek7e-4_AR16_Beta1p02_qbot0p5_N385x385x65_lm_timeseries.png
8000000.0,0.000999999999999935,16.0,1.02,0.5,385,385,65,0.1,1108.5,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek1e-3_AR16_Beta1p02_qbot0p5_N385x385x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek1e-3_AR16_Beta1p02_qbot0p5_N385x385x65_lm_timeseries.png
8000000.0,0.003000000000000819,16.0,1.02,0.5,385,385,65,0.1,2400.0,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek3e-3_AR16_Beta1p02_qbot0p5_N385x385x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek3e-3_AR16_Beta1p02_qbot0p5_N385x385x65_lm_timeseries.png
8000000.0,0.004999999999999675,16.0,1.02,0.5,385,385,65,0.1,2400.0,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek5e-3_AR16_Beta1p02_qbot0p5_N385x385x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek5e-3_AR16_Beta1p02_qbot0p5_N385x385x65_lm_timeseries.png
8000000.0,0.007000000000004278,16.0,1.02,0.5,385,385,65,0.1,2200.0,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek7e-3_AR16_Beta1p02_qbot0p5_N385x385x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek7e-3_AR16_Beta1p02_qbot0p5_N385x385x65_lm_timeseries.png
8000000.0,0.00999999999999935,16.0,1.02,0.5,385,385,65,0.1,2390.0,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek1e-2_AR16_Beta1p02_qbot0p5_N385x385x65_kinetic_mprime_dual_axis_timeseries.png,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260803\individual_cases\Ra8e6_Ek1e-2_AR16_Beta1p02_qbot0p5_N385x385x65_lm_timeseries.png
