Ra,Pr,beta,qbot,Ek,AR,actual_grid,tmax,scheduler_state,job_id,diagnostic_progress,analysis_state,note
8e6,0.7,1.02,0.5,NR,16,385x385x65,844.7,EXIT,74474581,"no write for about 12.5 h before exit",nonsteady,"killed by user/administrator account at 2026-08-03 13:44; had stalled after 'write data every 24 hours'"
8e6,0.7,1.02,0.5,1.5e-4,4,257x257x65,1200.0,not_in_scheduler,,stopped,not_mature,"tiny-amplitude state; do not count as a physical aggregation steady state"
8e6,0.7,1.02,0.5,2e-4,4,257x257x65,1200.0,not_in_scheduler,,stopped,nonsteady,"strong reorganization/collapse remains"
8e6,0.7,1.02,0.5,5e-4,16,385x385x65,800.0,not_in_scheduler,,stopped,nonsteady,"kinetic energy and aggregation diagnostics remain nonstationary"
8e6,0.7,1.02,0.5,7e-4,16,385x385x65,800.0,not_in_scheduler,,stopped,nonsteady,"kinetic energy and aggregation diagnostics remain nonstationary"
8e6,0.7,1.02,0.5,1e-3,16,385x385x65,846.3,EXIT,74474650,"no write for about 11.5 h before exit",steady_before_stall,"killed by user/administrator account at 2026-08-03 13:44; late 500-time drift was small"
8e6,0.7,1.02,0.5,3e-3,16,385x385x65,2400.0,not_in_scheduler,,stopped,steady,"usable statistical steady interval"
8e6,0.7,1.02,0.5,5e-3,16,385x385x65,2400.0,not_in_scheduler,,stopped,steady,"usable statistical steady interval"
8e6,0.7,1.02,0.5,7e-3,16,385x385x65,2200.0,not_in_scheduler,,stopped,steady,"historical t=10--1000 reduced data patch merged; current remote rows win"
8e6,0.7,1.02,0.5,1e-2,16,385x385x65,2390.0,not_in_scheduler,,stopped,steady,"use a long late-time averaging window"
8e6,0.7,1.02,0.5,3e-2,16,385x385x65,2400.0,not_in_scheduler,,stopped,near_steady,"terminal 200 is flat, but last 500 still drifts"
8e6,0.7,1.02,0.5,5e-2,16,385x385x65,959.203,RUN,74474575,advancing,nonsteady,"only scheduler RUN case currently producing new diagnostics"
8e6,0.7,1.02,0.5,1e-1,16,385x385x65,1194.102,EXIT,74444575,"no write for about 11.0 h before exit",nonsteady,"killed by user/administrator account at 2026-08-03 13:44; no explicit runtime error in solver stdout"
