Pr,Ra,Ek,AR,beta,gamma,alphaqs,tau,qbot,qtop,Nx,Ny,Nz,time_min,time_max,anchor_path,source_run_paths,mprime_sources,historical_patches
0.7,8000000.0,0.00014999999999973672,4.0,1.02,1.1,3.0,0.001,0.5,0.004978,257,257,65,0.1,1200.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run']",['diagnostics/thermo/mprime_square.dat'],
0.7,8000000.0,0.00020000000000066313,4.0,1.02,1.1,3.0,0.001,0.5,0.004978,257,257,65,0.1,1200.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run']",['diagnostics/thermo/mprime_square.dat'],
0.7,8000000.0,,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,1141.8,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run']",['diagnostics/thermo/mprime_square.dat'],
0.7,8000000.0,0.0004999999999999675,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,800.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run'],['diagnostics/thermo/mprime_square.dat'],
0.7,8000000.0,0.0007000000000004278,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,800.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run'],['diagnostics/thermo/mprime_square.dat'],
0.7,8000000.0,0.000999999999999935,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,1108.5,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run']",['diagnostics/thermo/mprime_square.dat'],
0.7,8000000.0,0.003000000000000819,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,2400.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run']",['diagnostics/thermo/mprime_square.dat'],
0.7,8000000.0,0.004999999999999675,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,2400.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run']",['diagnostics/thermo/mprime_square.dat'],
0.7,8000000.0,0.007000000000004278,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,2200.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run']",['diagnostics/thermo/mprime_square.dat'],"[{'name': 'Ra8e6_Ek7e-3_t10_1000', 'path': 'E:\\moist RB\\rotating_case_inventory\\03_inventory_tables\\historical_time_series_patches\\Ra8e6_Ek7e-3_t10_1000_latest_program.csv', 'time_min': 10.0, 'time_max': 1000.0, 'priority': 'current remote rows override duplicate historical rows', 'added_rows_by_metric': {'kinetic': 9000, 'mprime': 9000, 'l0': 9000, 'mse_peak': 9000, 'mse_spectral': 9000, 'mse_integral': 0, 'convective_mid': 9000, 'convective_zavg': 9000, 'velocity_z075': 0}}]"
0.7,8000000.0,0.00999999999999935,16.0,1.02,1.1,3.0,0.001,0.5,0.004978,385,385,65,0.1,2390.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65,"['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run', '/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run']",['diagnostics/thermo/mprime_square.dat'],
