time_min,time_max,n_samples,inertia_bulk,coriolis_bulk,viscous_bulk,buoyancy_bulk,Ra,Pr,Ek,AR,Ro_c,Ra_m_Ek_4_3,supercritical_m_over_8p7,pressure_online_bulk,pressure_time_min,pressure_time_max,pressure_n,pressure_source
710.0,1200.0,11,1.9275645228052293e-05,0.0017055850682426,0.0002350023696057,0.000520755079413,8000000.0,0.7,0.0001499999999997,4.0,0.5070925528360958,34.7185984353458,3.990643498315609,0.0020692519665600003,1200.1,1700.0,5000,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek1p5e-4_pressure_force.out
810.0,1240.0,6,0.084405430033025,0.0202549872305885,0.003946500859799,0.0111559574234117,8000000.0,0.7,0.0009999999999999,16.0,3.3806170189137283,435.6193599999422,50.07119080459106,0.08565190917182,1240.1,1740.0,5000,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek1e-3_pressure_force.out
210.0,660.0,6,0.0652439330838457,0.0108641206865234,0.0038323038558609,0.0125958488412277,8000000.0,0.7,0.0020000000000066,16.0,6.7612340378504445,1097.6920028162958,126.17149457658574,0.06485542735510205,660.1,664.9,49,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek2e-3_pressure_force.out
2610.0,3070.0,6,0.0451184025049597,0.008248019048108,0.0033546463630316,0.0149676053047422,8000000.0,0.7,0.0030000000000008,16.0,10.141851056744905,1884.815504333436,216.64546026821108,0.041202599457507816,3070.1,3261.8,1918,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek3e-3_pressure_force.out
1910.0,2400.0,6,0.0411848287389246,0.0045115229164914,0.003110920692491,0.0130708304743829,8000000.0,0.7,0.0049999999999996,16.0,16.903085094568983,3724.493137533089,428.102659486562,0.037703278193739996,2400.1,2900.0,5000,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek5e-3_pressure_force.out
1710.0,2200.0,6,0.024276021013443,0.0032811175428063,0.0025768396453122,0.0137520942716824,8000000.0,0.7,0.0070000000000042,16.0,23.66431913241266,5833.169002948127,670.4791957411641,0.01835562885686,2200.1,2700.0,5000,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek7e-3_pressure_force.out
1910.0,2390.0,6,0.0244890783300046,0.0020075822389406,0.0024419320828996,0.011632043138316,8000000.0,0.7,0.0099999999999993,16.0,33.8061701891383,9385.134608334003,1078.751104406207,0.02052752325514,2390.1,2890.0,5000,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek1e-2_pressure_force.out
1910.0,2400.0,6,0.0274044066046104,0.0005337664061594,0.0020760357600187,0.0079240402484631,8000000.0,0.7,0.0300000000000081,16.0,101.41851056744936,40607.11906845912,4667.4849503976,0.01970387073526,2400.1,2900.0,5000,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek3e-2_pressure_force.out
810.0,1250.0,6,0.0209184878255594,0.0003240093694821,0.0020710408317142,0.0087086537362351,8000000.0,0.7,0.0499999999999967,16.0,169.03085094569215,80241.77218287127,9223.192204927733,0.0137589678276,1250.102,1750.0,5000,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek5e-2_pressure_force.out
1510.0,1970.0,6,0.0150912536335217,0.0001532742728897,0.0021117463064768,0.0090412289072206,8000000.0,0.7,0.0999999999999935,16.0,338.06170189138464,202196.59570813703,23240.988012429545,0.01169402364968,1970.101,2469.999,5000,E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_balance\online_pressure_force\Ek1e-1_pressure_force.out
