Ra,Pr,Ek,AR,Nx,Ny,Nz,time,frame,field_path,inertia_bulk,coriolis_bulk,viscous_bulk,buoyancy_bulk,drag_bulk,local_Ro_force,buoyancy_power_bulk,viscous_dissipation_bulk,drag_dissipation_bulk,regime,pressure_plane,coriolis_plane,inertia_plane,viscous_plane,cp_residual_plane,cp_residual_over_coriolis,pressure_plane_z
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,10.0,1,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00001.h5,1.4500382611634243e-10,5.198934950475029e-06,5.491410079517827e-07,2.242806788812015e-06,0.0,2.7891063746256982e-05,3.793656818965385e-12,1.8298032221367046e-12,0.0,geostrophic leading; VAC-like ageostrophic balance,,,,,,,
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,60.0,6,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00006.h5,3.8890726273813414e-10,7.87443819603397e-06,1.054664562522257e-06,2.6644795315666397e-06,0.0,4.938857262655394e-05,1.0705579901087953e-11,6.134846507929083e-12,0.0,geostrophic leading; VAC-like ageostrophic balance,3.6836179292360887e-06,3.4457857876540982e-06,4.7692487593157045e-11,4.041046166437935e-07,6.784908843376031e-07,0.19690454547945704,0.04833588103373401
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,110.0,11,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00011.h5,1.7290501294849127e-09,1.6678720396082125e-05,2.269576231838827e-06,5.221482476468952e-06,0.0,0.00010366803258426654,4.897597079869186e-11,2.839378364578883e-11,0.0,geostrophic leading; VAC-like ageostrophic balance,6.5998936656129125e-06,7.022290272394665e-06,1.9962737306948693e-10,8.474081061055199e-07,9.086695749497798e-07,0.1293978943766896,0.04833588103373401
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,160.0,16,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00016.h5,5.840573186007311e-09,3.073791123582995e-05,4.1845740740327636e-06,9.394097492124024e-06,0.0,0.00019001203891821995,1.6344173050108633e-10,9.617333406099549e-11,0.0,geostrophic leading; VAC-like ageostrophic balance,1.3502515440444558e-05,1.294536843416282e-05,6.814313794748441e-10,1.574632108799345e-06,1.7083445992569397e-06,0.13196569938856428,0.04833588103373401
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,210.0,21,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00021.h5,1.5604513486539077e-08,4.9948540297204516e-05,6.814478786610636e-06,1.5130707880067178e-05,0.0,0.0003124118021004994,4.2794521722426017e-10,2.541203075759044e-10,0.0,geostrophic leading; VAC-like ageostrophic balance,2.1541906920750446e-05,2.1017266190503907e-05,1.8267499754253608e-09,2.5685795276316196e-06,2.613843054839253e-06,0.12436646284759187,0.04833588103373401
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,260.0,26,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00026.h5,3.6617153688135915e-08,7.592120977986415e-05,1.0383790072379799e-05,2.290951392462419e-05,0.0,0.0004823046655118966,9.856438730204597e-10,5.884230760368819e-10,0.0,geostrophic leading; VAC-like ageostrophic balance,3.238301473768133e-05,3.1884759616296576e-05,4.28526584143837e-09,3.9096883559405405e-06,3.8662696696891965e-06,0.12125760759109229,0.04833588103373401
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,310.0,31,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00031.h5,7.979801255135637e-08,0.00011129824668903921,1.5253861050554199e-05,3.352225917578059e-05,0.0,0.0007169745699077124,2.116264460067031e-09,1.2673876946513447e-09,0.0,geostrophic leading; VAC-like ageostrophic balance,4.714921362260422e-05,4.665215502716029e-05,9.328226542748967e-09,5.73414405365106e-06,5.5874051349991536e-06,0.11976735333547266,0.04833588103373401
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,360.0,36,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00036.h5,1.664309154677543e-07,0.00015987565540263502,2.1944912579191124e-05,4.8098683866854664e-05,0.0,0.0010410022404512454,4.364896566749135e-09,2.619678641723241e-09,0.0,geostrophic leading; VAC-like ageostrophic balance,6.742858798769746e-05,6.691627704509541e-05,1.944723898940275e-08,8.238451359814854e-06,7.961046880935485e-06,0.1189702600395786,0.04833588103373401
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,410.0,41,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00041.h5,3.328580093761112e-07,0.00022545600703636665,3.096876261052362e-05,6.77628316580508e-05,0.0,0.0014763767608215485,8.664822053823472e-09,5.211155284167928e-09,0.0,geostrophic leading; VAC-like ageostrophic balance,9.467160720752648e-05,9.437746138006074e-05,3.90221175155257e-08,1.1628850696195923e-05,1.1170101141000755e-05,0.11835560077229072,0.04833588103373401
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,460.0,46,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00046.h5,6.37157276723737e-07,0.00030956802756820654,4.254843560230619e-05,9.304904920385168e-05,0.0,0.002058214091839162,1.6308634671540353e-08,9.821900124628874e-09,0.0,geostrophic leading; VAC-like ageostrophic balance,0.00012993903603666373,0.0001298945366878337,7.53253508948602e-08,1.5993386948790065e-05,1.5359132766594586e-05,0.11824310058171345,0.04833588103373401
