Ra,Pr,Ek,AR,Nx,Ny,Nz,time,frame,w_rms,field_path
8000000.0,0.7,0.00014999999999973672,4.0,,,,10.0,1,1.809724014836923e-06,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00001.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,60.0,6,2.940436452985428e-06,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00006.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,110.0,11,6.331714275212306e-06,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00011.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,160.0,16,1.1574828415043994e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00016.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,210.0,21,1.8745722445542203e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00021.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,260.0,26,2.847200503034618e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00026.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,310.0,31,4.174642401497291e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00031.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,360.0,36,5.998954757452069e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00036.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,410.0,41,8.454451346668244e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00041.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,460.0,46,0.00011599652727641141,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00046.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,510.0,51,0.00016016152324989963,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00051.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,560.0,56,0.00023534808514141675,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00056.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,610.0,61,0.00038063678559097184,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00061.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,660.0,66,0.0005564862068372455,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00066.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,710.0,71,0.0006181108312989726,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00071.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,760.0,76,0.0006182756570928219,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00076.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,810.0,81,0.0006176349639765048,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00081.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,860.0,86,0.0006212811435145492,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00086.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,910.0,91,0.0006256298087664536,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00091.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,960.0,96,0.0006285932747786887,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00096.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,1010.0,101,0.0006302105093354335,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00101.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,1060.0,106,0.0006315633439775988,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00106.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,1110.0,111,0.0006329849093794687,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00111.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,1160.0,116,0.00063420529686878,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00116.h5
8000000.0,0.7,0.00014999999999973672,4.0,,,,1200.0,120,0.0006350060073740059,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00120.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,10.0,1,3.714233092009197e-06,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00001.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,60.0,6,0.002052608447119809,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00006.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,110.0,11,0.001297122638490043,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00011.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,160.0,16,3.1742567400495914e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00016.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,210.0,21,5.321404374819535e-06,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00021.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,260.0,26,1.3588613400263987e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00026.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,310.0,31,1.94899416114523e-05,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00031.h5
8000000.0,0.7,0.00020000000000066313,4.0,,,,360.0,36,0.003568003545094866,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00036.h5
