time,F_I,F_C,F_P,F_V,F_B,F_CP
660.2,0.0636495552,0.0110578309,0.0708284584,0.00499482274,0.0143794201,0.0628302503049184
660.3,0.0636381485,0.0110575559,0.0708280931,0.00499492014,0.0143816664,0.06283006403308089
660.4,0.0636215978,0.0110572794,0.0708264515,0.00499506869,0.0143849542,0.06282808323146563
660.5,0.063604488,0.011056998,0.0708230035,0.00499565479,0.0143875313,0.06282400412091137
660.6,0.0635853162,0.0110567087,0.0708183329,0.0049966672,0.0143906598,0.06281885286620753
660.7,0.0635589681,0.0110564074,0.0708104215,0.00499677435,0.0143940393,0.06281000004636951
660.8,0.0635298419,0.0110560894,0.0708008621,0.00499568038,0.0143980777,0.06279906714382337
660.9,0.0635027813,0.0110557576,0.0707904012,0.00499348228,0.0144011756,0.06278711339144627
661.0,0.0634780697,0.0110554255,0.0707818719,0.00499116878,0.0144056657,0.06277746566537452
661.1,0.0634586288,0.0110551038,0.070776862,0.00498808682,0.0144098933,0.06277183070521654
661.2,0.0634466245,0.011054796,0.0707759549,0.00498359471,0.0144132247,0.0627708591874179
661.3,0.0634358774,0.0110545048,0.0707781507,0.00497811581,0.0144179309,0.06277330135320491
661.4,0.063420428,0.0110542347,0.0707808043,0.0049726221,0.0144219868,0.06277619229552282
661.5,0.0633973348,0.0110539851,0.0707824471,0.00496652043,0.014426061,0.06277741663853727
661.6,0.0633772149,0.0110537515,0.0707865598,0.00496063279,0.0144307374,0.06278172223836183
661.7,0.0633619029,0.0110535301,0.0707918021,0.00495628798,0.0144342751,0.06278747061717534
661.8,0.0633527368,0.0110533248,0.0707973888,0.0049533669,0.0144369342,0.06279367921255784
661.9,0.0633457567,0.0110531445,0.0708010868,0.00495261011,0.0144400218,0.06279757885295721
662.0,0.0633345029,0.0110529972,0.070800576,0.00495311784,0.0144421886,0.06279642095923603
662.1,0.0633215838,0.0110528892,0.0707973945,0.00495305338,0.0144447482,0.06279219900667718
662.2,0.0633113707,0.0110528235,0.0707939284,0.00495261902,0.0144470365,0.0627877635389808
662.3,0.0633051177,0.0110527976,0.07079096,0.0049526678,0.014449611,0.0627843133002407
662.4,0.0632971238,0.011052806,0.0707873645,0.00495297233,0.0144520199,0.06278018418521981
662.5,0.0632865734,0.0110528432,0.0707829477,0.00495359914,0.0144547043,0.06277509560905499
