case,status,remote_run_directory,required_file,recommended_profile_file,action,note
Ek=0.1,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.05,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.03,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti2/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti2/conti1/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti2/conti1/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.01,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.007,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.005,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.003,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti3/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti3/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti3/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.002,partial locally: t=660.1-684.2 only,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run/data/force_balance_z.out,download updated complete files,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.001,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.0007,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.0005,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.0002,complete locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run/data/force_balance_z.out,none,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
Ek=0.00015,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
norotating,strict bulk time series missing locally,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run/data/force_balance.out,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run/data/force_balance_z.out,download,pressure_force.out is legacy horizontal pressure only and cannot replace strict F_P=-grad(p)
