"case","remote_data_directory","force_balance_out","force_balance_z_out","local_directory"
"Ek1e-1","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/conti_strict_force_500/run/data","missing_on_remote_recursive_search","missing_on_remote_recursive_search","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek1e-1"
"Ek5e-2","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run/data","missing_on_remote_recursive_search","missing_on_remote_recursive_search","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek5e-2"
"Ek3e-2","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti2/conti1/conti_strict_force_500/run/data","missing_on_remote_recursive_search","missing_on_remote_recursive_search","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek3e-2"
"Ek1e-2","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run/data","missing_on_remote_recursive_search","missing_on_remote_recursive_search","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek1e-2"
"Ek7e-3","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run/data","missing_on_remote_recursive_search","missing_on_remote_recursive_search","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek7e-3"
"Ek5e-3","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run/data","missing_on_remote_recursive_search","missing_on_remote_recursive_search","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek5e-3"
"Ek3e-3","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti3/conti_strict_force_500/run/data","missing_on_remote_recursive_search","missing_on_remote_recursive_search","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek3e-3"
"Ek2e-3","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run/data","downloaded","downloaded","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek2e-3"
"Ek1e-3","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run/data","missing_on_remote_recursive_search","missing_on_remote_recursive_search","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek1e-3"
"Ek7e-4","/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti_strict_force_500/run/data","missing_on_remote_recursive_search","missing_on_remote_recursive_search","E:\moist RB\rotating_case_inventory\04_outputs_and_figures\high_resolution_timeseries_latest_program_20260805\force_num_vs_Ek_20260812\downloaded_force_balance\Ek7e-4"
