Ra,Ek,AR,beta,qbot,Nx,Ny,Nz,Ek_label,time_max_all,num_time_max,num_tail_start,num_mean,num_cv,num_trend_change,num_half_change,num_status,kinetic_time_max,kinetic_tail_start,kinetic_mean,kinetic_cv,kinetic_trend_change,kinetic_half_change,kinetic_status,mprime_time_max,mprime_tail_start,mprime_mean,mprime_cv,mprime_trend_change,mprime_half_change,mprime_status,overall_status
8000000.0,0.0001499999999997,4.0,1.02,0.5,257,257,65,0.00015,1200.0,1200.0,840.03,1.0039673847782076,5.871205644648697e-05,0.0001967354312756948,9.634532670273869e-05,统计稳定,1200.0,840.03,7.875918984055555e-07,0.015128257311126807,0.05107643772728391,0.025133944264602588,统计稳定,1200.0,840.03,1.762378352688889e-06,0.015795203576494624,0.05342320311510902,0.02634258709181942,统计稳定,三项均统计稳定
8000000.0,0.0002000000000006,4.0,1.02,0.5,257,257,65,0.0002,1200.0,1200.0,840.03,1.1161149357780262,0.21836149398923257,-0.09889822556363188,-0.18671005287056325,仍明显演化,1200.0,840.03,2.4015403437012628e-05,2.0626097970983848,-0.8885486934356986,-1.7100110656915382,仍明显演化,1200.0,840.03,6.264769552884583e-05,2.0205577536727306,-0.8587396787326594,-1.656389346874141,仍明显演化,至少一项仍明显演化
8000000.0,0.0004999999999999,16.0,1.02,0.5,385,385,65,0.0005,800.0,800.0,500.0,1.0159405910689463,0.04111621885013409,-0.006095812747212406,-0.0029089159707342094,统计稳定,800.0,500.0,1.0545323080619342e-05,2.161448961352897,-2.6860548076652484,-1.123394024154995,仍明显演化,800.0,500.0,5.168679008613442e-05,1.573773017569739,-3.376405230353147,-1.491142309416025,仍明显演化,至少一项仍明显演化
8000000.0,0.0007000000000004,16.0,1.02,0.5,385,385,65,0.0007,800.0,800.0,500.0,2.5608910088697128,0.5387269145889306,-1.6846199544611562,-0.9640381676421523,仍明显演化,800.0,500.0,0.000676643082260259,0.8844321792814085,-2.713888114809026,-1.5813452917145312,仍明显演化,800.0,500.0,0.0013461517527728853,0.7382661952497003,-2.363087707932173,-1.2764200356181055,仍明显演化,至少一项仍明显演化
8000000.0,0.0009999999999999,16.0,1.02,0.5,385,385,65,0.001,1240.0,1240.0,868.03,5.11391600310288,0.002811869112802604,0.003957306764146874,0.0018087574862437105,统计稳定,1240.0,868.03,0.002348885691462,0.005267945180700071,0.014381958038048303,0.0067538151461782265,统计稳定,1240.0,868.03,0.0034031795076266665,0.005917972830585429,0.01897052929423579,0.008923122335465708,统计稳定,三项均统计稳定
8000000.0,0.0020000000000066,16.0,1.02,0.5,385,385,65,0.002,663.7,663.7,363.70000000000005,5.312177135542043,0.013606235372825506,0.03960820269295661,0.021031327538012155,统计稳定,663.7,363.70000000000005,0.0030239945325026764,0.031297081193938925,0.09804707457346705,0.051338235870309785,接近稳定,663.7,363.70000000000005,0.0035282450120393445,0.030315365148778858,0.09479311332394216,0.05183033577733559,接近稳定,接近联合稳定
8000000.0,0.0030000000000008,16.0,1.02,0.5,385,385,65,0.003,3076.4,3076.4,2153.51,4.7985467442779735,0.023727684223385805,0.0597849803225235,0.038685372289338486,统计稳定,3076.4,2153.51,0.0036160567585276976,0.039659013334365785,0.11969906676463153,0.07007560256345242,接近稳定,3076.4,2153.51,0.003958944651903113,0.0410950816312311,0.12202254672091042,0.0713833413440889,接近稳定,接近联合稳定
8000000.0,0.0049999999999996,16.0,1.02,0.5,385,385,65,0.005,2400.0,2400.0,1680.03,4.030837983178914,0.0285705186482991,-0.018974443793926436,-0.01829652924594376,统计稳定,2400.0,1680.03,0.0033386479527979167,0.031564146238702045,-0.08846255779304844,-0.05164420021058181,接近稳定,2400.0,1680.03,0.003404809563190278,0.022641566176686324,-0.02645366824360785,-0.010651561235733839,统计稳定,接近联合稳定
8000000.0,0.0070000000000042,16.0,1.02,0.5,385,385,65,0.007,2200.0,2200.0,1540.03,3.473974642394547,0.029000311638460154,0.0648851782553564,0.040034890987256114,统计稳定,2200.0,1540.03,0.003442168671472727,0.03706609021816427,0.08817236422832754,0.05358038430161405,接近稳定,2200.0,1540.03,0.0031553455293772733,0.0329376266319127,0.06666389913498258,0.04459784833786484,统计稳定,接近联合稳定
8000000.0,0.0099999999999993,16.0,1.02,0.5,385,385,65,0.01,2390.0,2390.0,1673.03,3.250683773495039,0.05594937559966787,0.03273086512750763,0.04455911108009503,统计稳定,2390.0,1673.03,0.002828188992512153,0.0976002115775547,0.10489829562774793,0.10574330082960659,接近稳定,2390.0,1673.03,0.003166899334248611,0.0410396078300997,0.07003581489626799,0.04242695089088934,统计稳定,接近联合稳定
