"case_label","Ra","Ek","grid","kmax_dealias_eta_min","max_dz_over_eta_wall01","N_E_bottom","movie_dir"
"Ek1e-5/RaTwithkh","100000000.0","1.0000000317142872e-05","256x256x128","4.593701199427121","0.2402550372473313","1.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/Ek1e-5/RaTwithkh/conti2/conti1/run/movie"
"Ek1e-5/RaTwithkh/Ra5e7","50000000.0","1.0027253869660365e-05","128x128x64","537.6430880297874","0.0033414062957468","0.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/Ek1e-5/RaTwithkh/Ra5e7/run/movie"
"Ek3e-5/RaT/top01bot05","100000000.0","2.512492572174401e-05","128x128x64","1.6895349866966176","0.8014262091305919","1.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/Ek3e-5/RaT/top01bot05/run/movie"
"Ek3e-5/RaT/top01bot08","100000000.0","2.512492572174401e-05","128x128x64","9.282086112540927","0.1458764337202549","1.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/Ek3e-5/RaT/top01bot08/run/movie"
"Ek3e-5/RaTwithkh","100000000.0","2.998781457111382e-05","256x256x128","1.791315969185524","0.5764509300194418","2.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/Ek3e-5/RaTwithkh/conti2/conti1/run/movie"
"lowrestest/Ra1e6/Ra1e6Pr07Ek2e-4","1000000.0","0.0002000000063428","128x128x64","1106.3010142477474","0.0012767037278218","1.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/Ra1e6/Ra1e6Pr07Ek2e-4/run/movie"
"lowrestest/Ra1e6/Ra1e6Pr07Ek3e-4","1000000.0","0.0002999999736574","128x128x64","5.67939239432819","0.2929806232780517","2.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/Ra1e6/Ra1e6Pr07Ek3e-4/run/movie"
"lowrestest/Ra1e6/Ra1e6Pr07Ek4e-4","1000000.0","0.0004000000126857","128x128x64","2.522787372784284","0.6155838216916214","2.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/Ra1e6/Ra1e6Pr07Ek4e-4/run/movie"
"lowrestest/Ra1e6/Ra1e6Pr07Ek5e-4","1000000.0","0.0005000000158571","128x128x64","2.738877304719324","0.5647148040780811","2.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/Ra1e6/Ra1e6Pr07Ek5e-4/run/movie"
"lowrestest/Ra1e6/Ra1e6Pr07Ek6e-4","1000000.0","0.000600000162456","128x128x64","2.620343072040002","0.5908297627727462","2.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/Ra1e6/Ra1e6Pr07Ek6e-4/run/movie"
"lowrestest/Ra1e6/Ra1e6Pr07Ek7e-4","1000000.0","0.000699999771202","128x128x64","2.380298712161047","0.6127211528403024","3.0","/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/Ra1e6/Ra1e6Pr07Ek7e-4/run/movie"
