case,Ra,Pr,Ek,AR,Beta,qbot,qtop,resolution,primary_drive,primary_path,current_size_GiB,policy
Ek1e-1,8e6,0.7,1e-1,16,1.02,0.5,0.004978,N385x385x65,H:,H:\rotating_case\Pr0p7\Ra8e6\Ek1e-1,127.465848,"complete on H; G source removed; 3021 files; HDF5 spot-check passed 2026-08-11"
Ek1e-2,8e6,0.7,1e-2,16,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\Ek1e-2\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,149.993378,"keep complete on G"
Ek1e-3,8e6,0.7,1e-3,16,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\Ek1e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,67.170044,"primary storage on G; remaining target movie files are in filtered FileZilla queue waiting for password"
Ek1p5e-4,8e6,0.7,1.5e-4,4,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\Ek1p5e-4\AR4\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,0.423273,"primary storage on G; E fragment consolidated; remaining target fields are in filtered FileZilla queue waiting for password"
Ek2e-3,8e6,0.7,2e-3,16,1.02,0.5,0.004978,N385x385x65,G:,G:\moist convection\Ek2e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N385x385x65,0.380599,"keep complete on G"
Ek2e-4,8e6,0.7,2e-4,4,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\Ek2e-4\AR4\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,0.205742,"keep complete on G"
Ek3e-2,8e6,0.7,3e-2,16,1.02,0.5,0.004978,N385x385x65,G:,G:\moist convection\Ek3e-2\AR16\Beta1p02\qbot0p5_qtop0p004978\N385x385x65,0.416230,"keep complete on G"
Ek3e-3,8e6,0.7,3e-3,16,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\Ek3e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,0.413907,"keep complete on G"
Ek5e-2,8e6,0.7,5e-2,16,1.02,0.5,0.004978,N385x385x65,G:,G:\moist convection\Ek5e-2\AR16\Beta1p02\qbot0p5_qtop0p004978\N385x385x65,0.564225,"keep complete on G"
Ek5e-3,8e6,0.7,5e-3,16,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\Ek5e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,0.474855,"keep complete on G"
Ek5e-4,8e6,0.7,5e-4,16,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\Ek5e-4\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,8.750300,"keep complete on G"
Ek7e-3,8e6,0.7,7e-3,16,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\Ek7e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,0.415593,"keep complete on G"
Ek7e-4,8e6,0.7,7e-4,16,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\Ek7e-4\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,0.600944,"keep complete on G"
norotating,8e6,0.7,none,16,1.02,0.5,0.004978,N257x257x65,G:,G:\moist convection\norotating\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65,0.243902,"keep complete on G"
