category,path,files,size_GiB,confidence,recommended_status,reason
exact_duplicate_deleted,G:\moist convection\Ek1e-1\AR16\Beta1p02\qbot0p5_qtop0p004978\N385x385x65\conti1\run\run,1379,59.629492,confirmed_by_relative_path_and_size,"deleted 2026-08-11 with user approval","same 1379 relative paths and sizes as N385x385x65\run; dry was not touched"
exact_duplicate_deleted,"G: and H: fragments of Ek1e-1\AR16\Beta1p02\qbot0p5_qtop0p004978\N385x385x65\conti1\conti_strict_force_500\run\run",1380,59.699806,confirmed_split_duplicate,"deleted 2026-08-11 with user approval","interrupted migration left 50.344834 GiB on G and 9.354972 GiB on H; both fragments removed before migration resumed"
non_target_parameter,G:\moist convection\Ek1e-2\AR16\Beta1p02\qbot1_qtop0p004978,621,27.886185,confirmed,"wait for user decision","qbot=1; target set uses qbot=0.5"
non_target_study,G:\moist convection\dry,1532,6.887135,confirmed,"keep; user explicitly said do not delete","dry-convection cases are outside the 14 moist cases"
non_target_parameter,E:\moist RB\moist\result\data\ns\transition_study\rotating_self_aggregation\Ra8e6\AR10,37,2.033,confirmed,"keep unless user says delete","AR10 is outside the target AR16/AR4 set and appears to contain prior study results"
non_target_parameter,E:\moist RB\moist\result\data\ns\transition_study\rotating_self_aggregation\Ra8e6\AR16\Beta1p02\nor\botsat,,0.509,confirmed,"keep unless user says delete","bottom-saturated qbot=1 branch; target set uses qbot=0.5"
non_target_parameter,G:\moist convection\Ek1e-3\AR16\Beta1p02\qbot1_qtop0p004978,7,0.000001,confirmed,"wait for user decision","configuration-only qbot=1 branch"
non_target_case,G:\moist convection\Ek1e-4,7,0.000003,confirmed,"wait for user decision","Ek1e-4 is not one of the 14 target cases; configuration-only"
non_target_case,G:\moist convection\Ek1p5e-3,5,0.0000003,confirmed,"wait for user decision","Ek1p5e-3 is not one of the 14 target cases; configuration-only"
empty_directory,G:\moist convection\Ek2e-3\AR16\Beta1p02\qbot1_qtop0p004978,0,0,confirmed,"wait for user decision","empty qbot=1 branch"
empty_directory,G:\moist convection\Ek3e-3\AR10,0,0,confirmed,"wait for user decision","empty AR10 branch"
empty_directory,G:\moist convection\Ek3e-3\AR16\Beta1p02\qbot1_qtop0p004978,0,0,confirmed,"wait for user decision","empty qbot=1 branch"
empty_directory,G:\moist convection\Ek3e-4,0,0,confirmed,"wait for user decision","non-target empty directory"
target_fragment_consolidated,G:\moist convection\Ek1p5e-4\AR4\Beta1p02\qbot0p5_qtop0p004978\N257x257x65\supplemental_fields_from_E_20260801,4,0.125011,not_an_exact_duplicate,"moved from E to target case on G 2026-08-11","field00120 and mprime00120 preserved without guessing remote subdirectory; original E fragment removed"
