"case","path","exists","files","size_GiB","latest","previous_policy"
"Ek1e-1","H:\rotating_case\Pr0p7\Ra8e6\Ek1e-1","True","3021","127.465848","2026-08-07 8:10:49","complete on H; G source removed; 3021 files; HDF5 spot-check passed 2026-08-11"
"Ek1e-2","G:\moist convection\Ek1e-2\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","3810","149.993378","2026-08-07 18:38:18","keep complete on G"
"Ek1e-3","G:\moist convection\Ek1e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","2392","94.45174","2026-08-12 2:10:17","primary storage on G; remaining target movie files are in filtered FileZilla queue waiting for password"
"Ek1p5e-4","G:\moist convection\Ek1p5e-4\AR4\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","579","11.044159","2026-08-12 10:29:21","primary storage on G; E fragment consolidated; remaining target fields are in filtered FileZilla queue waiting for password"
"Ek2e-3","G:\moist convection\Ek2e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N385x385x65","True","45","0.380599","2026-08-07 14:18:55","keep complete on G"
"Ek2e-4","G:\moist convection\Ek2e-4\AR4\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","47","0.205742","2026-08-07 13:53:07","keep complete on G"
"Ek3e-2","G:\moist convection\Ek3e-2\AR16\Beta1p02\qbot0p5_qtop0p004978\N385x385x65","True","43","0.41623","2026-08-07 14:19:26","keep complete on G"
"Ek3e-3","G:\moist convection\Ek3e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","44","0.413907","2026-08-07 14:03:57","keep complete on G"
"Ek5e-2","G:\moist convection\Ek5e-2\AR16\Beta1p02\qbot0p5_qtop0p004978\N385x385x65","True","41","0.564225","2026-08-07 14:20:05","keep complete on G"
"Ek5e-3","G:\moist convection\Ek5e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","44","0.474855","2026-08-07 14:04:20","keep complete on G"
"Ek5e-4","G:\moist convection\Ek5e-4\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","228","8.7503","2026-08-07 16:01:07","keep complete on G"
"Ek7e-3","G:\moist convection\Ek7e-3\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","44","0.415593","2026-08-07 14:04:37","keep complete on G"
"Ek7e-4","G:\moist convection\Ek7e-4\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","44","0.600944","2026-08-07 14:17:30","keep complete on G"
"norotating","G:\moist convection\norotating\AR16\Beta1p02\qbot0p5_qtop0p004978\N257x257x65","True","43","0.243902","2026-08-07 14:03:44","keep complete on G"
