Ek,Ra,Pr,run,branch_runs,time_Re_max,time_Num_max,Re_status,Re_mean_200,Re_drift_200,Re_half_shift_200,Num_status,Num_mean_200,Num_drift_200,Num_half_shift_200,stable_for_Ek_scaling
0.1,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/run/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/conti_strict_force_500/run,1997.198,1997.198,stable,223.8015659230847,-0.036346047028270455,-0.026653805449234787,stable,3.0572927707321287,0.0035715294346418125,-0.001963860928868481,True
0.01,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run,2425.5,2425.5,stable,263.61299354055893,0.0116335762002646,0.012848838333748063,stable,3.326884286107469,-0.04104895031884313,-0.016559997509165154,True
0.001,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,1273.1,1273.1,stable,232.09359508936632,0.0015025303885048283,0.0014890981427446088,stable,5.115893171648781,-0.0013410496750531388,-0.0003894959580770615,True
0.00015,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,1276.4,1276.4,stable,4.2852936093240785,0.00955366446664028,0.00487088415092994,stable,1.0040421817543854,6.736345766561972e-05,3.431371711877022e-05,True
0.002,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run,664.9,664.9,stable,265.58270513082005,0.013985580281001699,0.006343511679625158,stable,5.359143540400587,0.00715003702057147,0.0028391827400773037,True
0.0002,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/conti_strict_force_500/run,1277.1,1277.1,not_stable,13.150615447646915,3.7411569131844225,1.4055587545258117,not_stable,1.1144450528865975,0.47671836471738577,0.1521806112015959,False
0.03,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti2/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti2/conti1/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti2/conti1/conti_strict_force_500/run,2435.3,2435.3,stable,221.80470561246753,0.0361775775609058,0.015993020526343,stable,3.0001939408972675,0.05920520813481529,0.033732894391976985,True
0.003,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti3/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti3/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti3/conti_strict_force_500/run,3104.2,3104.2,stable,291.46231181918233,-0.015313547260380787,-0.008555557319689495,stable,4.829340528160548,-0.04274569772366956,-0.025133615954917397,True
0.05,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti_strict_force_500/run,1275.897,1275.897,stable,227.2230523502513,-0.06582964371392698,-0.04282874570733397,stable,3.1045227592112536,-0.0200324655510158,-0.026823902925251237,True
0.005,8000000.0,0.7,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run;/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/conti_strict_force_500/run,2435.0,2435.0,stable,272.40249615579603,0.009104373736774203,0.005940501570243119,stable,4.146499245094766,0.07062574509352329,0.033137334524998244,True
